"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","SubClass","Class","SubDivision","Division","SuperDivision","SubKingdom","Kingdom"
"ABILD","","ABILD","Abildgaardia","","Abildgaardia","","","","","","","","","","","","","Vahl","","","","","sedge","Monocot","Abildgaardia","Cyperaceae","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABOV","","ABOV","Abildgaardia ovata","","Abildgaardia","","ovata","","","","","","","","","","","(Burm. f.) Kral","","","","","flatspike sedge","Monocot","Abildgaardia","Cyperaceae","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABROM","","ABROM","Abroma","","Abroma","","","","","","","","","","","","","Jacq.","","","","","","","Abroma","Sterculiaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABAU3","","ABAU3","Abroma augustum","","Abroma","","augustum","","","","","","","","","","","(L.) L. f.","","","","","devil's-cotton","","Abroma","Sterculiaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABRON","","ABRON","Abronia","","Abronia","","","","","","","","","","","","","Juss.","","","","","sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABAL","","ABAL","Abronia alpina","","Abronia","","alpina","","","","","","","","","","","Brandegee","","","","","Ramshaw Meadows sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABAM2","","ABAM2","Abronia ameliae","","Abronia","","ameliae","","","","","","","","","","","Lundell","","","","","Amelia's sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABAM3","","ABAM3","Abronia ammophila","","Abronia","","ammophila","","","","","","","","","","","Greene","","","","","Wyoming sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABAN","","ABAN","Abronia angustifolia","","Abronia","","angustifolia","","","","","","","","","","","Greene","","","","","purple sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABAR","","ABAR","Abronia argillosa","","Abronia","","argillosa","","","","","","","","","","","S.L. Welsh & Goodrich","","","","","clay sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABBI","","ABBI","Abronia bigelovii","","Abronia","","bigelovii","","","","","","","","","","","Heimerl","","","","","Galisteo sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABBO","","ABBO","Abronia bolackii","","Abronia","","bolackii","","","","","","","","","","","N.D. Atwood, S.L. Welsh & K.D. Heil","","","","","Bolack's sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABCA","","ABCA","Abronia carletonii","","Abronia","","carletonii","","","","","","","","","","","J.M. Coult. & Fisher","","","","","Carleton's sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABEL","","ABEL","Abronia elliptica","","Abronia","","elliptica","","","","","","","","","","","A. Nelson","","","","","fragrant white sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABFR2","","ABFR2","Abronia fragrans","","Abronia","","fragrans","","","","","","","","","","","Nutt. ex Hook.","","","","","snowball sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABGR2","","ABGR2","Abronia gracilis","","Abronia","","gracilis","","","","","","","","","","","Benth.","","","","","slender sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABIN2","","ABIN2","Abronia insularis","","Abronia","","insularis","","","","","","","","","","","Standl.","","","","","island sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABLA2","","ABLA2","Abronia latifolia","","Abronia","","latifolia","","","","","","","","","","","Eschsch.","","","","","coastal sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABMA5","","ABMA5","Abronia macrocarpa","","Abronia","","macrocarpa","","","","","","","","","","","L.A. Galloway","","","","","largefruit sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABMA2","","ABMA2","Abronia maritima","","Abronia","","maritima","","","","","","","","","","","Nutt. ex S. Watson","","","","","red sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABME","","ABME","Abronia mellifera","","Abronia","","mellifera","","","","","","","","","","","Douglas ex Hook.","","","","","white sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABMI2","","ABMI2","Abronia minor","","Abronia","","minor","","","","","","","","","","","Standl.","","","","","little sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABNA","","ABNA","Abronia nana","","Abronia","","nana","","","","","","","","","","","S. Watson","","","","","dwarf sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABNAC","","ABNAC","Abronia nana var. covillei","","Abronia","","nana","","","","var.","","covillei","","","","","S. Watson","(Heimerl) Munz","","","","Coville's dwarf sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABNAH","","ABNAH","Abronia nana var. harrisii","","Abronia","","nana","","","","var.","","harrisii","","","","","S. Watson","S.L. Welsh","","","","Harris' dwarf sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABNAN","","ABNAN","Abronia nana var. nana","","Abronia","","nana","","","","var.","","nana","","","","","S. Watson","S. Watson","","","","dwarf sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABNE","","ABNE","Abronia neurophylla","","Abronia","","neurophylla","","","","","","","","","","","Standl.","","","","","beach sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABPO","","ABPO","Abronia pogonantha","","Abronia","","pogonantha","","","","","","","","","","","Heimerl","","","","","Mojave sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABTU","","ABTU","Abronia turbinata","","Abronia","","turbinata","","","","","","","","","","","Torr. ex S. Watson","","","","","transmontane sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABUM","","ABUM","Abronia umbellata","","Abronia","","umbellata","","","","","","","","","","","Lam.","","","","","pink sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABUMB","","ABUMB","Abronia umbellata ssp. breviflora","","Abronia","","umbellata","ssp.","","breviflora","","","","","","","","Lam.","(Standl.) Munz","","","","pink sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABUMU","","ABUMU","Abronia umbellata ssp. umbellata","","Abronia","","umbellata","ssp.","","umbellata","","","","","","","","Lam.","Lam.","","","","pink sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABVI","","ABVI","Abronia villosa","","Abronia","","villosa","","","","","","","","","","","S. Watson","","","","","desert sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABVIA","","ABVIA","Abronia villosa var. aurita","","Abronia","","villosa","","","","var.","","aurita","","","","","S. Watson","(Abrams) Jeps.","","","","desert sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABVIV","","ABVIV","Abronia villosa var. villosa","","Abronia","","villosa","","","","var.","","villosa","","","","","S. Watson","S. Watson","","","","desert sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABROT","","ABROT","Abrothallus","","Abrothallus","","","","","","","","","","","","","De Not.","","","","","abrothallus lichen","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"ABBE2","","ABBE2","Abrothallus bertianus","","Abrothallus","","bertianus","","","","","","","","","","","De Not.","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"ABBR3","","ABBR3","Abrothallus bryoriarum","","Abrothallus","","bryoriarum","","","","","","","","","","","Hafellner","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"ABCE","","ABCE","Abrothallus cetrariae","","Abrothallus","","cetrariae","","","","","","","","","","","Kotte","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"ABCL","","ABCL","Abrothallus cladoniae","","Abrothallus","","cladoniae","","","","","","","","","","","R. Sant. & D. Hawksw.","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"ABPA5","","ABPA5","Abrothallus parmeliarum","","Abrothallus","","parmeliarum","","","","","","","","","","","(Sommerf.) Arnold","","","","","parmelia abrothallus lichen","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"ABPE2","","ABPE2","Abrothallus peyritschii","","Abrothallus","","peyritschii","","","","","","","","","","","(Stein) Kotte","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"ABPR5","","ABPR5","Abrothallus prodiens","","Abrothallus","","prodiens","","","","","","","","","","","(Harm.) Diederich & Hafellner","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"ABWE","","ABWE","Abrothallus welwitschii","","Abrothallus","","welwitschii","","","","","","","","","","","Tul.","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"ABRUS","","ABRUS","Abrus","","Abrus","","","","","","","","","","","","","Adans.","","","","","abrus","Dicot","Abrus","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABPR3","","ABPR3","Abrus precatorius","","Abrus","","precatorius","","","","","","","","","","","L.","","","","","rosarypea","Dicot","Abrus","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABSCO","","ABSCO","Absconditella","","Absconditella","","","","","","","","","","","","","Vezda","","","","","absconditella lichen","Lichen","Absconditella","Stictidaceae","Ostropales","","Ascomycetes","","Ascomycota","","","Fungi"
"ABSP","","ABSP","Absconditella sphagnorum","","Absconditella","","sphagnorum","","","","","","","","","","","Vezda & Poelt","","","","","sphagnum absonditella lichen","Lichen","Absconditella","Stictidaceae","Ostropales","","Ascomycetes","","Ascomycota","","","Fungi"
"ABTR3","","ABTR3","Absconditella trivialis","","Absconditella","","trivialis","","","","","","","","","","","(Willey ex Tuck.) Vezda","","","","","trivial absconditella lichen","Lichen","Absconditella","Stictidaceae","Ostropales","","Ascomycetes","","Ascomycota","","","Fungi"
"ABUTI","","ABUTI","Abutilon","","Abutilon","","","","","","","","","","","","","Mill.","","","","","Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABAB","","ABAB","Abutilon abutiloides","","Abutilon","","abutiloides","","","","","","","","","","","(Jacq.) Garcke ex Hochr.","","","","","shrubby Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABAU","","ABAU","Abutilon auritum","","Abutilon","","auritum","","","","","","","","","","","(Wall. ex Link) Sweet","","","","","Asian Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABBE","","ABBE","Abutilon berlandieri","","Abutilon","","berlandieri","","","","","","","","","","","A. Gray ex S. Watson","","","","","Berlandier's Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABER","","ABER","Abutilon eremitopetalum","","Abutilon","","eremitopetalum","","","","","","","","","","","Caum","","","","","hiddenpetal Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABFR3","","ABFR3","Abutilon fruticosum","","Abutilon","","fruticosum","","","","","","","","","","","Guill. & Perr.","","","","","Texas Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABGL","","ABGL","Abutilon glabriflorum","","Abutilon","","glabriflorum","","","","","","","","","","","Hochr. [excluded]","","","","","","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABGR3","","ABGR3","Abutilon grandifolium","","Abutilon","","grandifolium","","","","","","","","","","","(Willd.) Sweet","","","","","hairy Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABHI","","ABHI","Abutilon hirtum","","Abutilon","","hirtum","","","","","","","","","","","(Lam.) Sweet","","","","","Florida Keys Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABHU","","ABHU","Abutilon hulseanum","","Abutilon","","hulseanum","","","","","","","","","","","(Torr. & A. Gray) Torr. ex A. Gray","","","","","mauve","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABHY","","ABHY","Abutilon hypoleucum","","Abutilon","","hypoleucum","","","","","","","","","","","A. Gray","","","","","whiteleaf Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABIN","","ABIN","Abutilon incanum","","Abutilon","","incanum","","","","","","","","","","","(Link) Sweet","","","","","pelotazo","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABIN3","","ABIN3","Abutilon indicum","","Abutilon","","indicum","","","","","","","","","","","(L.) Sweet","","","","","monkeybush","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABINA","","ABINA","Abutilon indicum ssp. albescens","","Abutilon","","indicum","ssp.","","albescens","","","","","","","","(L.) Sweet","(Miq.) Borss. Waalk.","","","","","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABMA3","","ABMA3","Abutilon malacum","","Abutilon","","malacum","","","","","","","","","","","S. Watson","","","","","yellow Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABMA8","","ABMA8","Abutilon mauritianum","","Abutilon","","mauritianum","","","","","","","","","","","(Jacq.) Medik.","","","","","","Dicot","Abutilon","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
