"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","Federal Noxious Status","State Noxious Status","Invasive","Federal T/E Status","State T/E Status"
"GABU2","","GABU2","Garrya buxifolia","dwarf silktassel","","","","",""
"GACO9","","GACO9","Garrya congdonii","chaparral silktassel","","","","",""
"GAEL","","GAEL","Garrya elliptica","wavyleaf silktassel","","","","",""
"GAFA5","","GAFA5","Garrya fadyenia","Fadyen's silktassel","","","","",""
"GAFL2","","GAFL2","Garrya flavescens","ashy silktassel","","","","",""
"GAFR","","GAFR","Garrya fremontii","bearbrush","","","","",""
"GAOV","","GAOV","Garrya ovata","eggleaf silktassel","","","","",""
"GAOVG","","GAOVG","Garrya ovata ssp. goldmanii","Goldman's silktassel","","","","",""
"GAOVL","","GAOVL","Garrya ovata ssp. lindheimeri","Lindheimer's silktassel","","","","",""
"GAVE2","","GAVE2","Garrya veatchii","canyon silktassel","","","","",""
"GAWR3","","GAWR3","Garrya wrightii","Wright's silktassel","","","","",""
"GASTR","","GASTR","Gastridium","nit grass","","","","",""
"GAPH2","","GAPH2","Gastridium phleoides","nit grass","","","","",""
"GAUDI","","GAUDI","Gaudinia","fragile oat","","","","",""
"GAFR6","","GAFR6","Gaudinia fragilis","fragile oat","","","","",""
"GAULT","","GAULT","Gaultheria","snowberry","","","","",""
"GAHI2","","GAHI2","Gaultheria hispidula","creeping snowberry","","","","","CT(T)MD(E)NJ(E)OH(PRX)PA(R)RI(T)WA(S)"
"GAHU","","GAHU","Gaultheria humifusa","alpine spicywintergreen","","","","",""
"GAMI2","","GAMI2","Gaultheria miqueliana","Miquel's spicywintergreen","","","","",""
"GAOV2","","GAOV2","Gaultheria ovatifolia","western teaberry","","","","",""
"GAPR2","","GAPR2","Gaultheria procumbens","eastern teaberry","","","","","IL(E)"
"GASH","","GASH","Gaultheria shallon","salal","","","","",""
"GAURA","","GAURA","Gaura","beeblossom","","","","",""
"GAAN4","","GAAN4","Gaura angustifolia","southern beeblossom","","","","",""
"GABI2","","GABI2","Gaura biennis","biennial beeblossom","","","","",""
"GABO3","","GABO3","Gaura boquillensis","Rio Grande beeblossom","","","","",""
"GABR2","","GABR2","Gaura brachycarpa","plains beeblossom","","","","",""
"GACA5","","GACA5","Gaura calcicola","Texas beeblossom","","","","",""
"GACO5","","GACO5","Gaura coccinea","scarlet beeblossom","","CA (BW)","NE&GP, STATE","",""
"GADE","","GADE","Gaura demareei","Demaree's beeblossom","","","","",""
"GADR","","GADR","Gaura drummondii","Drummond's beeblossom","","CA (BW)","STATE","",""
"GAFI2","","GAFI2","Gaura filipes","slenderstalk beeblossom","","","","","IN(T)"
"GAHE2","","GAHE2","Gaura hexandra","harlequinbush","","","","",""
"GAHEG","","GAHEG","Gaura hexandra ssp. gracilis","harlequinbush","","","","",""
"GAHEH","","GAHEH","Gaura hexandra ssp. hexandra","harlequinbush","","","","",""
"GALI2","","GALI2","Gaura lindheimeri","Lindheimer's beeblossom","","","","",""
"GALO3","","GALO3","Gaura longiflora","longflower beeblossom","","","","",""
"GAMA5","","GAMA5","Gaura macrocarpa","Trans-Pecos beeblossom","","","","",""
"GAMC","","GAMC","Gaura mckelveyae","Mckelvey's beeblossom","","","","",""
"GANE2","","GANE2","Gaura neomexicana","New Mexico beeblossom","","","","",""
"GANEC","","GANEC","Gaura neomexicana ssp. coloradensis","Colorado butterfly plant","","","","",""
"GANEN","","GANEN","Gaura neomexicana ssp. neomexicana","New Mexico beeblossom","","","","",""
"GAPA6","","GAPA6","Gaura parviflora","velvetweed","","","WSWS","",""
"GASI","","GASI","Gaura sinuata","wavyleaf beeblossom","","CA (BW)","STATE","",""
"GASU2","","GASU2","Gaura suffulta","kisses","","","","",""
"GASUN","","GASUN","Gaura suffulta ssp. nealleyi","Nealley's kisses","","","","",""
"GASUS","","GASUS","Gaura suffulta ssp. suffulta","kisses","","","","",""
"GATR5","","GATR5","Gaura triangulata","prairie beeblossom","","","","",""
"GAUSS","","GAUSS","Gaussia","gaussia","","","","",""
"GAAT","","GAAT","Gaussia attenuata","llume","","","","",""
"GAYLU","","GAYLU","Gaylussacia","huckleberry","","","","",""
"GABA","","GABA","Gaylussacia baccata","black huckleberry","","","","","IA(T)"
"GABR5","","GABR5","Gaylussacia brachycera","box huckleberry","","","","","MD(E)PA(E)"
"GADU","","GADU","Gaylussacia dumosa","dwarf huckleberry","","","","","PA (E), TN (T)"
"GAFR2","","GAFR2","Gaylussacia frondosa","blue huckleberry","","","","",""
"GAMO3","","GAMO3","Gaylussacia mosieri","woolly huckleberry","","","","",""
"GANA","","GANA","Gaylussacia nana","Confederate huckleberry","","","","",""
"GATO5","","GATO5","Gaylussacia tomentosa","hairytwig huckleberry","","","","",""
"GAUR","","GAUR","Gaylussacia ursina","bear huckleberry","","","","",""
"GAYOP","","GAYOP","Gayophytum","groundsmoke","","","","",""
"GADE2","","GADE2","Gayophytum decipiens","deceptive groundsmoke","","","","",""
"GADI2","","GADI2","Gayophytum diffusum","spreading groundsmoke","","","","",""
"GADID","","GADID","Gayophytum diffusum ssp. diffusum","spreading groundsmoke","","","","",""
"GADIP","","GADIP","Gayophytum diffusum ssp. parviflorum","spreading groundsmoke","","","","",""
"GAER2","","GAER2","Gayophytum eriospermum","Coville's groundsmoke","","","","",""
"GAHE3","","GAHE3","Gayophytum heterozygum","zigzag groundsmoke","","","","",""
"GAHU2","","GAHU2","Gayophytum humile","dwarf groundsmoke","","","","",""
"GAOL","","GAOL","Gayophytum oligospermum","pinegrove groundsmoke","","","","",""
"GARA","","GARA","Gayophytum racemosum","blackfoot groundsmoke","","","","",""
"GARA2","","GARA2","Gayophytum ramosissimum","pinyon groundsmoke","","","","",""
"GAZAN","","GAZAN","Gazania","gazania","","","","",""
"GALI4","","GALI4","Gazania linearis","treasureflower","","","","",""
"GARI2","","GARI2","Gazania rigens","treasure-flower","","","","",""
"GEHEE","","GEHEE","Geheebia","geheebia moss","","","","",""
"GEGI","","GEGI","Geheebia gigantea","giant geheebia moss","","","","",""
"GELSE","","GELSE","Gelsemium","trumpetflower","","","","",""
"GERA4","","GERA4","Gelsemium rankinii","Rankin's trumpetflower","","","","",""
"GESE","","GESE","Gelsemium sempervirens","evening trumpetflower","","","","","TN(SC)"
"GENIO","","GENIO","Geniostoma","","","","","",""
"GEMI6","","GEMI6","Geniostoma micranthum","","","","","",""
"GEMIH","","GEMIH","Geniostoma micranthum var. hoeferi","","","","","",""
"GEMIM","","GEMIM","Geniostoma micranthum var. micranthum","","","","","",""
"GERU3","","GERU3","Geniostoma rupestre","rock geniostoma","","","","",""
"GERUG","","GERUG","Geniostoma rupestre var. glaberrimum","rock geniostoma","","","","",""
"GENIP","","GENIP","Genipa","genipa","","","","",""
"GEAM","","GEAM","Genipa americana","jagua","","","","",""
"GENIS","","GENIS","Genista","broom","","","","",""
"GEAE","","GEAE","Genista aetnensis","Mt. Etna broom","","","","",""
"GECA16","","GECA16","Genista canariensis","Canary broom","","","","",""
"GELI5","","GELI5","Genista linifolia","Mediterranean broom","","","","",""
"GEMA10","","GEMA10","Genista maderensis","Madeira Dyer's greenweed","","","","",""
"GEMO2","","GEMO2","Genista monspessulana","French broom","","CA(CW)HI(NW)OR(BDW, Q)","Cal-IPC, STATE","",""
"GEST9","","GEST9","Genista stenopetala","leafy broom","","","","",""
"GETI","","GETI","Genista tinctoria","Dyer's greenweed","","","","",""
"GETR4","","GETR4","Genista tridentata","","","","","",""
"GENIS2","","GENIS2","Genistidium","brushpea","","","","",""
"GEDU","","GEDU","Genistidium dumosum","brushpea","","","","",""
"GENTI","","GENTI","Gentiana","gentian","","","","",""
"GEBI5","","GEBI5","Gentiana ×billingtonii","gentian","","","","",""
"GECU3","","GECU3","Gentiana ×curtisii","gentian","","","","",""
"GEGR5","","GEGR5","Gentiana ×grandilacustris","gentian","","","","",""
"GEPA4","","GEPA4","Gentiana ×pallidocyanea","gentian","","","","",""
"GEAC4","","GEAC4","Gentiana acaulis","gentian","","","","",""
"GEAF","","GEAF","Gentiana affinis","pleated gentian","","","","",""
"GEAL4","","GEAL4","Gentiana alba","plain gentian","","","","","IN (R), OH (T), PA (X), WI (T)"
"GEAL2","","GEAL2","Gentiana algida","whitish gentian","","","","",""
"GEAN","","GEAN","Gentiana andrewsii","closed bottle gentian","","","","","MA(T)MD(T)NH(T)NY(EV)RI(H)VT(T)"
"GEANA","","GEANA","Gentiana andrewsii var. andrewsii","closed bottle gentian","","","","",""
"GEAND","","GEAND","Gentiana andrewsii var. dakotica","Dakota gentian","","","","",""
"GEAU3","","GEAU3","Gentiana austromontana","Appalachian gentian","","","","","TN(SC)"
"GEAU4","","GEAU4","Gentiana autumnalis","pine barren gentian","","","","",""
"GECA","","GECA","Gentiana calycosa","Rainier pleated gentian","","","","",""
"GECA10","","GECA10","Gentiana catesbaei","Elliott's gentian","","","","","PA(X)"
"GECL","","GECL","Gentiana clausa","bottle gentian","","","","","NY(EV)"
"GECR6","","GECR6","Gentiana cruciata","star gentian","","","","",""
"GEDE3","","GEDE3","Gentiana decora","showy gentian","","","","","KY(SC)"
"GEDO","","GEDO","Gentiana douglasiana","swamp gentian","","","","","WA(S)"
"GEFR","","GEFR","Gentiana fremontii","moss gentian","","","","",""
"GEGL","","GEGL","Gentiana glauca","pale gentian","","","","","WA(S)"
"GELI3","","GELI3","Gentiana linearis","narrowleaf gentian","","","","","MI(T)NJ(E)NY(EV)TN(T)"
"GELU2","","GELU2","Gentiana lutea","yellow gentian","","","","",""
"GENE","","GENE","Gentiana newberryi","alpine gentian","","","","",""
"GENEN","","GENEN","Gentiana newberryi var. newberryi","alpine gentian","","","","",""
"GENET","","GENET","Gentiana newberryi var. tiogana","Tioga gentian","","","","",""
"GENI","","GENI","Gentiana nivalis","snow gentian","","","","",""
"GEPA","","GEPA","Gentiana parryi","Parry's gentian","","","","",""
"GEPE3","","GEPE3","Gentiana pennelliana","wiregrass gentian","","","","","FL(E)"
"GEPL","","GEPL","Gentiana platypetala","broadpetal gentian","","","","",""
"GEPL6","","GEPL6","Gentiana plurisetosa","bristly gentian","","","","",""
"GEPR3","","GEPR3","Gentiana prostrata","pygmy gentian","","","","",""
"GEPU5","","GEPU5","Gentiana puberulenta","downy gentian","","","","","IN(T)KY(E)MD(E, X)MI(E)OH(E)TN(E)"
"GERU","","GERU","Gentiana rubricaulis","closed gentian","","","","","ME(PX)"
"GESA","","GESA","Gentiana saponaria","harvestbells","","","","","MI(PREX)NY(E)OH(E)PA(E)"
"GESAL2","","GESAL2","Gentiana saponaria var. latidens","harvestbells","","","","",""
"GESAS","","GESAS","Gentiana saponaria var. saponaria","harvestbells","","","","",""
"GESC","","GESC","Gentiana sceptrum","king's scepter gentian","","","","",""
"GESE3","","GESE3","Gentiana septemfida","crested gentian","","","","",""
"GESE2","","GESE2","Gentiana setigera","Mendocino gentian","","","","",""
"GEVE6","","GEVE6","Gentiana verna","","","","","",""
"GEVI5","","GEVI5","Gentiana villosa","striped gentian","","","","","IN(E)MD(E)OH(E)PA(E)"
"GENTI2","","GENTI2","Gentianella","dwarf gentian","","","","",""
"GEAM3","","GEAM3","Gentianella amarella","autumn dwarf gentian","","","","","ME(E)VT(T)"
"GEAMA","","GEAMA","Gentianella amarella ssp. acuta","autumn dwarf gentian","","","","",""
"GEAMH","","GEAMH","Gentianella amarella ssp. heterosepala","autumn dwarf gentian","","","","",""
"GEAU6","","GEAU6","Gentianella aurea","golden dwarfgentian","","","","",""
"GEAU5","","GEAU5","Gentianella auriculata","eared dwarf gentian","","","","",""
"GEMI3","","GEMI3","Gentianella microcalyx","Chiricahua dwarf gentian","","","","",""
"GEPR5","","GEPR5","Gentianella propinqua","fourpart dwarf gentian","","","","",""
"GEPRA","","GEPRA","Gentianella propinqua ssp. aleutica","fourpart dwarf gentian","","","","",""
"GEPRP","","GEPRP","Gentianella propinqua ssp. propinqua","fourpart dwarf gentian","","","","",""
"GEQU2","","GEQU2","Gentianella quinquefolia","agueweed","","","","","MD(E)ME(PX)MI(T)NY(EV)VT(T)"
"GEQUO","","GEQUO","Gentianella quinquefolia ssp. occidentalis","agueweed","","","","",""
"GEQUQ","","GEQUQ","Gentianella quinquefolia ssp. quinquefolia","agueweed","","","","","CT ()"
"GETE4","","GETE4","Gentianella tenella","Dane's dwarf gentian","","","","","WA(S)"
"GETEP2","","GETEP2","Gentianella tenella ssp. pribilofii","Pribilof dwarf gentian","","","","",""
"GETET","","GETET","Gentianella tenella ssp. tenella","Dane's dwarf gentian","","","","",""
"GETO","","GETO","Gentianella tortuosa","Cathedral Bluff dwarf gentian","","","","",""
"GEWI2","","GEWI2","Gentianella wislizeni","Chiricahua Mountain dwarf gentian","","","","","AZ(SR)"
"GEWR2","","GEWR2","Gentianella wrightii","Wright's dwarf gentian","","","","",""
"GENTI3","","GENTI3","Gentianopsis","fringed gentian","","","","",""
"GEBA2","","GEBA2","Gentianopsis barbellata","perennial fringed gentian","","","","",""
"GECR2","","GECR2","Gentianopsis crinita","greater fringed gentian","","","","","GA (T), MD (E), NC (E, SC), NY (EV), RI (T)"
"GEDE4","","GEDE4","Gentianopsis detonsa","windmill fringed gentian","","","","",""
"GEDED","","GEDED","Gentianopsis detonsa ssp. detonsa","windmill fringed gentian","","","","",""
"GEDEN5","","GEDEN5","Gentianopsis detonsa ssp. nesophila","windmill fringed gentian","","","","",""
"GEDER","","GEDER","Gentianopsis detonsa ssp. raupii","Raup's fringedgentian","","","","",""
"GEDEY","","GEDEY","Gentianopsis detonsa ssp. yukonensis","Yukon fringed gentian","","","","",""
"GEHO3","","GEHO3","Gentianopsis holopetala","Sierra fringed gentian","","","","",""
"GEMA7","","GEMA7","Gentianopsis macounii","Macoun's fringed gentian","","","","",""
"GEMA6","","GEMA6","Gentianopsis macrantha","grand fringed gentian","","","","",""
"GESI3","","GESI3","Gentianopsis simplex","oneflower fringed gentian","","","","",""
"GETH","","GETH","Gentianopsis thermalis","Rocky Mountain fringed gentian","","","","",""
"GEVI6","","GEVI6","Gentianopsis virgata","lesser fringed gentian","","","","",""
"GEVIV2","","GEVIV2","Gentianopsis virgata ssp. victorinii","Victorin's gentian","","","","",""
"GEVIV3","","GEVIV3","Gentianopsis virgata ssp. virgata","lesser fringed gentian","","","","","NY (), PA ()"
"GEOCA3","","GEOCA3","Geocalyx","","","","","",""
"GEGR8","","GEGR8","Geocalyx graveolens","","","","","",""
"GEOCA2","","GEOCA2","Geocarpon","geocarpon","","","","",""
"GEMI","","GEMI","Geocarpon minimum","tinytim","","","","T"," (T)AR(E)MO(E)"
"GEOCA","","GEOCA","Geocaulon","false toadflax","","","","",""
"GELI2","","GELI2","Geocaulon lividum","false toadflax","","","","","ME(SC)NH(T)NY(E)WI(E)"
"GEODO","","GEODO","Geodorum","","","","","",""
"GEDE11","","GEDE11","Geodorum densiflorum","","","","","",""
"GEOFF","","GEOFF","Geoffroea","","","","","",""
"GEDE10","","GEDE10","Geoffroea decorticans","chañar","","","","",""
"GEOPH","","GEOPH","Geophila","geophila","","","","",""
"GERE3","","GERE3","Geophila repens","corrida yerba de guava","","","","",""
"GEOTH","","GEOTH","Geothallus","","","","","",""
"GETU3","","GETU3","Geothallus tuberosus","","","","","",""
"GERAE","","GERAE","Geraea","desertsunflower","","","","",""
"GECA2","","GECA2","Geraea canescens","hairy desertsunflower","","","","",""
"GEVI","","GEVI","Geraea viscida","sticky desertsunflower","","","","",""
"GERAN","","GERAN","Geranium","geranium","","","","",""
"GEAR","","GEAR","Geranium arboreum","Hawai'i red cranesbill","","","","E",""
"GEAT2","","GEAT2","Geranium atropurpureum","western purple cranesbill","","","","",""
"GEATA","","GEATA","Geranium atropurpureum var. atropurpureum","western purple cranesbill","","","","",""
"GEATC","","GEATC","Geranium atropurpureum var. cowenii","western purple cranesbill","","","","",""
"GEBI2","","GEBI2","Geranium bicknellii","Bicknell's cranesbill","","","","","CT(SC)IL(E)IN(E)OH(E)PA(E)RI(T)"
"GECA3","","GECA3","Geranium caespitosum","pineywoods geranium","","","","",""
"GECAC3","","GECAC3","Geranium caespitosum var. caespitosum","pineywoods geranium","","","","",""
"GECAE","","GECAE","Geranium caespitosum var. eremophilum","purple cluster geranium","","","","",""
"GECAF","","GECAF","Geranium caespitosum var. fremontii","Fremont's geranium","","","","",""
"GECAP2","","GECAP2","Geranium caespitosum var. parryi","Parry's geranium","","","","",""
"GECA4","","GECA4","Geranium californicum","California cranesbill","","","","",""
"GECA5","","GECA5","Geranium carolinianum","Carolina geranium","","","KY, N'EAST, SWSS","",""
"GECAC4","","GECAC4","Geranium carolinianum var. carolinianum","Carolina geranium","","","","","NH(E)"
"GECAS","","GECAS","Geranium carolinianum var. sphaerospermum","Carolina geranium","","","","","NY(T)"
"GECO","","GECO","Geranium columbinum","longstalk cranesbill","","","","",""
"GECU","","GECU","Geranium cuneatum","hinahina","","","","",""
"GECUC","","GECUC","Geranium cuneatum var. cuneatum","hinahina","","","","",""
"GECUH","","GECUH","Geranium cuneatum var. hololeucum","hinahina","","","","",""
"GECUH2","","GECUH2","Geranium cuneatum var. hypoleucum","hinahina","","","","",""
"GECUT","","GECUT","Geranium cuneatum var. tridens","hinahina","","","","",""
"GEDI","","GEDI","Geranium dissectum","cutleaf geranium","","","SWSS","",""
"GEDI5","","GEDI5","Geranium divaricatum","fanleaf geranium","","","","",""
"GEER2","","GEER2","Geranium erianthum","woolly geranium","","","","",""
"GEHA","","GEHA","Geranium hanaense","Maui geranium","","","","",""
"GEHI2","","GEHI2","Geranium hillebrandii","nohoanu","","","","",""
"GEHO5","","GEHO5","Geranium homeanum","Australasian geranium","","","","",""
"GEIB","","GEIB","Geranium ibericum","Iberian geranium","","","","",""
"GEKA","","GEKA","Geranium kauaiense","Kauai geranium","","","","",""
"GELE","","GELE","Geranium lentum","Mogollon geranium","","","","",""
"GELU","","GELU","Geranium lucidum","shining geranium","","","","",""
"GEMA","","GEMA","Geranium maculatum","spotted geranium","","","","",""
"GEMA11","","GEMA11","Geranium maderense","Madiera cranesbill","","","","",""
"GEMO","","GEMO","Geranium molle","dovefoot geranium","","","","",""
"GEMU","","GEMU","Geranium multiflorum","manyflower geranium","","","","E",""
"GENE7","","GENE7","Geranium nepalense","","","","","",""
"GEOR2","","GEOR2","Geranium oreganum","Oregon geranium","","","","",""
"GEPA5","","GEPA5","Geranium palmatum","Canary Island geranium","","","","",""
"GEPO","","GEPO","Geranium potentilloides","cinquefoil geranium","","","","",""
"GEPR4","","GEPR4","Geranium pratense","meadow geranium","","","","",""
"GEPU2","","GEPU2","Geranium pusillum","small geranium","","","","",""
"GEPY","","GEPY","Geranium pyrenaicum","hedgerow geranium","","","","",""
"GERE","","GERE","Geranium retrorsum","New Zealand geranium","","","","",""
"GERI","","GERI","Geranium richardsonii","Richardson's geranium","","","","",""
"GERO","","GERO","Geranium robertianum","Robert geranium","","WA(CBW)","STATE","","IN(T)MD(E)RI(SC)"
"GEROP","","GEROP","Geranium robertianum ssp. purpureum","Robert geranium","","","","",""
"GEROR2","","GEROR2","Geranium robertianum ssp. robertianum","Robert geranium","","","","",""
"GERO3","","GERO3","Geranium rotundifolium","roundleaf geranium","","","","",""
"GESA2","","GESA2","Geranium sanguineum","bloody geranium","","","","",""
"GESI2","","GESI2","Geranium sibiricum","Siberian geranium","","","","",""
"GESO","","GESO","Geranium solanderi","Solander's geranium","","","","",""
"GESY","","GESY","Geranium sylvaticum","woodland geranium","","","","",""
"GETE2","","GETE2","Geranium texanum","Texas geranium","","","","",""
"GETH3","","GETH3","Geranium thunbergii","Thunberg's geranium","","","","",""
"GETR3","","GETR3","Geranium traversii","cranesbill","","","","",""
"GEVE3","","GEVE3","Geranium versicolor","veiny geranium","","","","",""
"GEVI2","","GEVI2","Geranium viscosissimum","sticky purple geranium","","","","",""
"GEVII","","GEVII","Geranium viscosissimum var. incisum","sticky purple geranium","","","","",""
"GEVIV","","GEVIV","Geranium viscosissimum var. viscosissimum","sticky purple geranium","","","","",""
"GEWI","","GEWI","Geranium wislizeni","Huachuca Mountain geranium","","","","",""
"GEYE","","GEYE","Geranium yeoi","greater herb robert","","","","",""
"GERBE","","GERBE","Gerbera","Transvaal daisy","","","","",""
"GEJA","","GEJA","Gerbera jamesonii","Barberton daisy","","","","",""
"GESNE","","GESNE","Gesneria","gesneria","","","","",""
"GECI","","GECI","Gesneria citrina","yerba Puerto Rico de cueva","","","","",""
"GECU2","","GECU2","Gesneria cuneifolia","yerba parrera","","","","",""
"GEPA3","","GEPA3","Gesneria pauciflora","yerba maricao de cueva","","","","T",""
"GEPE4","","GEPE4","Gesneria pedunculosa","arbol de Navidad","","","","",""
"GERE2","","GERE2","Gesneria reticulata","yerba neto hoja de cueva","","","","",""
"GEVI7","","GEVI7","Gesneria viridiflora","grassflower","","","","",""
"GEVIS","","GEVIS","Gesneria viridiflora ssp. sintenisii","grassflower","","","","",""
"GEUM","","GEUM","Geum","avens","","","","",""
"GEAU2","","GEAU2","Geum ×aurantiacum","avens","","","","",""
"GECA17","","GECA17","Geum ×catlingii","Catling's avens","","","","",""
"GEMA12","","GEMA12","Geum ×macneillii","avens","","","","",""
"GEMA5","","GEMA5","Geum ×macranthum","avens","","","","",""
"GEPU4","","GEPU4","Geum ×pulchrum","avens","","","","",""
"GEAL3","","GEAL3","Geum aleppicum","yellow avens","","","","","MD(E)"
"GECA6","","GECA6","Geum calthifolium","calthaleaf avens","","","","",""
"GECA7","","GECA7","Geum canadense","white avens","","","","",""
"GECAC6","","GECAC6","Geum canadense var. canadense","white avens","","","","",""
"GECAT","","GECAT","Geum canadense var. texanum","Texan avens","","","","",""
"GEGE","","GEGE","Geum geniculatum","bent avens","","","","","NC(T)TN(E)"
"GEGL2","","GEGL2","Geum glaciale","glacier avens","","","","",""
"GELA","","GELA","Geum laciniatum","rough avens","","","","","RI(H)TN(SC)"
"GELAL","","GELAL","Geum laciniatum var. laciniatum","rough avens","","","","",""
"GELAT","","GELAT","Geum laciniatum var. trichocarpum","rough avens","","","","",""
"GEMA4","","GEMA4","Geum macrophyllum","largeleaf avens","","","","",""
"GEMAM","","GEMAM","Geum macrophyllum var. macrophyllum","largeleaf avens","","","","",""
"GEMAP","","GEMAP","Geum macrophyllum var. perincisum","largeleaf avens","","","","",""
"GEPE","","GEPE","Geum peckii","mountain avens","","","","","NH(T)"
"GEPE2","","GEPE2","Geum pentapetalum","Aleutian avens","","","","",""
"GERA2","","GERA2","Geum radiatum","Appalachian avens","","","","E"," (E)NC(SC, E)TN(E)"
"GERI2","","GERI2","Geum rivale","purple avens","","","","","IN(E)WA(S)"
"GERO2","","GERO2","Geum rossii","Ross' avens","","","","",""
"GEROD","","GEROD","Geum rossii var. depressum","Ross' avens","","","","","WA(S)"
"GEROR","","GEROR","Geum rossii var. rossii","Ross' avens","","","","",""
"GEROT","","GEROT","Geum rossii var. turbinatum","Ross' avens","","","","",""
"GETR","","GETR","Geum triflorum","old man's whiskers","","","","","MI(T)NY(T)"
"GETRC","","GETRC","Geum triflorum var. campanulatum","old man's whiskers","","","","",""
"GETRC3","","GETRC3","Geum triflorum var. canescens","old man's whiskers","","","","",""
"GETRC2","","GETRC2","Geum triflorum var. ciliatum","old man's whiskers","","","","",""
"GETRT","","GETRT","Geum triflorum var. triflorum","old man's whiskers","","","","",""
"GEUR","","GEUR","Geum urbanum","herb bennet","","","","",""
"GEVE","","GEVE","Geum vernum","spring avens","","","","","NY(E)"
"GEVI4","","GEVI4","Geum virginianum","cream avens","","","","","NY(E)"
"GIBAS","","GIBAS","Gibasis","bridalveil","","","","",""
"GIGE","","GIGE","Gibasis geniculata","Tahitian bridalveil","","","","",""
"GIPE3","","GIPE3","Gibasis pellucida","dotted bridalveil","","","","",""
"GIGAN","","GIGAN","Gigantochloa","gigantochloa","","","","",""
"GIAP","","GIAP","Gigantochloa apus","gigantochloa","","","","",""
"GIVE","","GIVE","Gigantochloa verticillata","gigantochloa","","","","",""
"GILIA","","GILIA","Gilia","gilia","","","","",""
"GIAC2","","GIAC2","Gilia achilleifolia","California gilia","","","","",""
"GIACA","","GIACA","Gilia achilleifolia ssp. achilleifolia","California gilia","","","","",""
"GIACM","","GIACM","Gilia achilleifolia ssp. multicaulis","California gilia","","","","",""
"GIAL","","GIAL","Gilia aliquanta","puffcalyx gilia","","","","",""
"GIALA","","GIALA","Gilia aliquanta ssp. aliquanta","puffcalyx gilia","","","","",""
"GIALB","","GIALB","Gilia aliquanta ssp. breviloba","puffcalyx gilia","","","","",""
"GIAN","","GIAN","Gilia angelensis","chaparral gilia","","","","",""
"GIAU2","","GIAU2","Gilia austrooccidentalis","southwestern gilia","","","","",""
"GIBR","","GIBR","Gilia brecciarum","Nevada gilia","","","","",""
"GIBRB","","GIBRB","Gilia brecciarum ssp. brecciarum","Nevada gilia","","","","",""
"GIBRJ","","GIBRJ","Gilia brecciarum ssp. jacens","Nevada gilia","","","","",""
"GIBRN","","GIBRN","Gilia brecciarum ssp. neglecta","Nevada gilia","","","","",""
"GICA3","","GICA3","Gilia cana","showy gilia","","","","",""
"GICAB","","GICAB","Gilia cana ssp. bernardina","showy gilia","","","","",""
"GICAC2","","GICAC2","Gilia cana ssp. cana","showy gilia","","","","",""
"GICAS","","GICAS","Gilia cana ssp. speciformis","showy gilia","","","","",""
"GICAS2","","GICAS2","Gilia cana ssp. speciosa","showy gilia","","","","",""
"GICAT","","GICAT","Gilia cana ssp. triceps","showy gilia","","","","",""
"GICA5","","GICA5","Gilia capitata","bluehead gilia","","","","",""
"GICAA","","GICAA","Gilia capitata ssp. abrotanifolia","bluehead gilia","","","","",""
"GICAC3","","GICAC3","Gilia capitata ssp. capitata","bluehead gilia","","","","",""
"GICAC","","GICAC","Gilia capitata ssp. chamissonis","bluehead gilia","","","","",""
"GICAM","","GICAM","Gilia capitata ssp. mediomontana","foothill gilia","","","","",""
"GICAP","","GICAP","Gilia capitata ssp. pacifica","Pacific gilia","","","","",""
"GICAP2","","GICAP2","Gilia capitata ssp. pedemontana","bluehead gilia","","","","",""
"GICAS3","","GICAS3","Gilia capitata ssp. staminea","bluehead gilia","","","","",""
"GICAT2","","GICAT2","Gilia capitata ssp. tomentosa","bluehead gilia","","","","",""
"GICL","","GICL","Gilia clivorum","purplespot gilia","","","","",""
"GICL2","","GICL2","Gilia clokeyi","Clokey's gilia","","","","",""
"GIDI","","GIDI","Gilia diegensis","coastal gilia","","","","",""
"GIFL","","GIFL","Gilia flavocincta","lesser yellowthroat gilia","","","","",""
"GIFLA","","GIFLA","Gilia flavocincta ssp. australis","lesser yellowthroat gilia","","","","",""
"GIFLF","","GIFLF","Gilia flavocincta ssp. flavocincta","lesser yellowthroat gilia","","","","",""
"GIIN2","","GIIN2","Gilia inconspicua","shy gilia","","","","",""
"GIIN4","","GIIN4","Gilia interior","inland gilia","","","","",""
"GILA","","GILA","Gilia latiflora","hollyleaf gilia","","","","",""
"GILAC2","","GILAC2","Gilia latiflora ssp. cuyamensis","hollyleaf gilia","","","","",""
"GILAD","","GILAD","Gilia latiflora ssp. davyi","hollyleaf gilia","","","","",""
"GILAE","","GILAE","Gilia latiflora ssp. elongata","hollyleaf gilia","","","","",""
"GILAL","","GILAL","Gilia latiflora ssp. latiflora","hollyleaf gilia","","","","",""
"GILE2","","GILE2","Gilia leptantha","fineflower gilia","","","","",""
"GILEL2","","GILEL2","Gilia leptantha ssp. leptantha","fineflower gilia","","","","",""
"GILEP2","","GILEP2","Gilia leptantha ssp. pinetorum","fineflower gilia","","","","",""
"GILEP3","","GILEP3","Gilia leptantha ssp. purpusii","fineflower gilia","","","","",""
"GILET","","GILET","Gilia leptantha ssp. transversa","fineflower gilia","","","","",""
"GIMA","","GIMA","Gilia malior","scrub gilia","","","","",""
