"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","Federal Noxious Status","State Noxious Status","Invasive","Federal T/E Status","State T/E Status"
"ACAU","","ACAU","Acacia auriculiformis","earleaf acacia","","","FLEPPC","",""
"ACBA","","ACBA","Acacia baileyana","cootamundra wattle","","","","",""
"ACBE6","","ACBE6","Acacia beckleri","Barrier Range wattle","","","","",""
"ACBE","","ACBE","Acacia berlandieri","guajillo","","","","",""
"ACBI5","","ACBI5","Acacia binervata","two-vein-hickory","","","","",""
"ACBO4","","ACBO4","Acacia boomanii","Snowy River wattle","","","","",""
"ACBR3","","ACBR3","Acacia brachybotrya","gray mulga","","","","",""
"ACBU3","","ACBU3","Acacia buxifolia","","","","","",""
"ACCA23","","ACCA23","Acacia caesiella","","","","","",""
"ACCA24","","ACCA24","Acacia calamifolia","broom wattle","","","","",""
"ACCA25","","ACCA25","Acacia cambagei","gidgee","","","","",""
"ACCA27","","ACCA27","Acacia cardiophylla","wyalong wattle","","","","",""
"ACCA21","","ACCA21","Acacia catechu","black cutch","","","","",""
"ACCA35","","ACCA35","Acacia caven","Roman-cassie","","","","",""
"ACCH8","","ACCH8","Acacia chinchillensis","Chinchilla wattle","","","","",""
"ACCH","","ACCH","Acacia choriophylla","cinnecord","","","","","FL(E)"
"ACCI6","","ACCI6","Acacia cibaria","turpentine mulga","","","","",""
"ACCO15","","ACCO15","Acacia cognata","bower wattle","","","","",""
"ACCO16","","ACCO16","Acacia colletioides","","","","","",""
"ACCO24","","ACCO24","Acacia collinsii","bull horn acacia","","","","",""
"ACCO","","ACCO","Acacia confusa","small Philippine acacia","","","HEAR","",""
"ACCO17","","ACCO17","Acacia conspersa","","","","","",""
"ACCO2","","ACCO2","Acacia constricta","whitethorn acacia","","","","",""
"ACCOC","","ACCOC","Acacia constricta var. constricta","whitethorn acacia","","","","",""
"ACCOP9","","ACCOP9","Acacia constricta var. paucispina","whitethorn acacia","","","","",""
"ACCO18","","ACCO18","Acacia continua","thorn wattle","","","","",""
"ACCO5","","ACCO5","Acacia cornigera","bullhorn wattle","","","","",""
"ACCR2","","ACCR2","Acacia craspedocarpa","","","","","",""
"ACCU4","","ACCU4","Acacia cultriformis","knife acacia","","","","",""
"ACCU5","","ACCU5","Acacia cupularis","","","","","",""
"ACCY2","","ACCY2","Acacia cyclops","coastal wattle","","","","",""
"ACDA5","","ACDA5","Acacia davyi","","","","","",""
"ACDE3","","ACDE3","Acacia dealbata","silver wattle","","","","",""
"ACDE11","","ACDE11","Acacia deanei","Deane's wattle","","","","",""
"ACDEP2","","ACDEP2","Acacia deanei ssp. paucijuga","","","","","",""
"ACDE12","","ACDE12","Acacia decora","graceful wattle","","","","",""
"ACDE","","ACDE","Acacia decurrens","green wattle","","","","",""
"ACDI7","","ACDI7","Acacia dietrichiana","","","","","",""
"ACDI8","","ACDI8","Acacia difformis","drooping wattle","","","","",""
"ACDO2","","ACDO2","Acacia doratoxylon","spearwood","","","","",""
"ACDR2","","ACDR2","Acacia drummondii","Drummond's wattle","","","","",""
"ACDU3","","ACDU3","Acacia dunnii","","","","","",""
"ACEB2","","ACEB2","Acacia eburnea","","","","","",""
"ACEL","","ACEL","Acacia elata","cedar wattle","","","","",""
"ACER4","","ACER4","Acacia erioloba","camelthorn","","","","",""
"ACER5","","ACER5","Acacia erubescens","","","","","",""
"ACES2","","ACES2","Acacia estrophiolata","","","","","",""
"ACEX3","","ACEX3","Acacia extensa","","","","","",""
"ACFA","","ACFA","Acacia farnesiana","sweet acacia","","","HEAR","",""
"ACFI4","","ACFI4","Acacia fimbriata","fringed wattle","","","","",""
"ACFL6","","ACFL6","Acacia floribunda","","","","","",""
"ACGA3","","ACGA3","Acacia galpinii","","","","","",""
"ACGE8","","ACGE8","Acacia genistifolia","early wattle","","","","",""
"ACGE7","","ACGE7","Acacia gerrardii","","","","","",""
"ACGL5","","ACGL5","Acacia gladiiformis","","","","","",""
"ACGL6","","ACGL6","Acacia glandulicarpa","","","","","",""
"ACGL4","","ACGL4","Acacia glauca","acacia","","","","",""
"ACGO2","","ACGO2","Acacia goetzei","","","","","",""
"ACGR9","","ACGR9","Acacia gracilifolia","graceful wattle","","","","",""
"ACGR","","ACGR","Acacia greggii","catclaw acacia","","","","",""
"ACGRG3","","ACGRG3","Acacia greggii var. greggii","catclaw acacia","","","","",""
"ACGRW","","ACGRW","Acacia greggii var. wrightii","catclaw acacia","","","","",""
"ACHA4","","ACHA4","Acacia hakeoides","","","","","",""
"ACHE8","","ACHE8","Acacia hebeclada","","","","","",""
"ACHE12","","ACHE12","Acacia hemiteles","","","","","",""
"ACHO2","","ACHO2","Acacia holosericea","candelabra wattle","","","","",""
"ACHO4","","ACHO4","Acacia horrida","","","","","",""
"ACHO5","","ACHO5","Acacia howittii","sticky wattle","","","","",""
"ACIM4","","ACIM4","Acacia imbricata","imbricate wattle","","","","",""
"ACIM5","","ACIM5","Acacia implexa","screw-pod wattle","","","","",""
"ACIR","","ACIR","Acacia irrorata","green wattle","","","","",""
"ACIT2","","ACIT2","Acacia iteaphylla","","","","","",""
"ACIX2","","ACIX2","Acacia ixiophylla","","","","","",""
"ACJI","","ACJI","Acacia jibberdingensis","","","","","",""
"ACJO2","","ACJO2","Acacia jonesii","","","","","",""
"ACKA2","","ACKA2","Acacia karroo","karroothorn","","","","",""
"ACKO","","ACKO","Acacia koa","koa","","","","",""
"ACKO2","","ACKO2","Acacia koaia","koaoha","","","","",""
"ACLA10","","ACLA10","Acacia lanuginophylla","","","","","",""
"ACLA6","","ACLA6","Acacia lasiocalyx","","","","","",""
"ACLE7","","ACLE7","Acacia leiophylla","","","","","",""
"ACLI8","","ACLI8","Acacia ligulata","acacia","","","","",""
"ACLI5","","ACLI5","Acacia lineata","","","","","",""
"ACLO","","ACLO","Acacia longifolia","Sydney golden wattle","","","","",""
"ACLOS3","","ACLOS3","Acacia longifolia ssp. sophorae","","","","","",""
"ACLO8","","ACLO8","Acacia longissima","","","","","",""
"ACMA","","ACMA","Acacia macracantha","porknut","","","","",""
"ACMA11","","ACMA11","Acacia maidenii","","","","","",""
"ACMA12","","ACMA12","Acacia mangium","","","","","",""
"ACME80","","ACME80","Acacia mearnsii","black wattle","","HI(NW)","HEAR, STATE","",""
"ACME","","ACME","Acacia melanoxylon","blackwood","","","HEAR","",""
"ACME8","","ACME8","Acacia mellifera","","","","","",""
"ACMED","","ACMED","Acacia mellifera ssp. detinens","","","","","",""
"ACME6","","ACME6","Acacia merrallii","","","","","",""
"ACMI5","","ACMI5","Acacia microbotrya","","","","","",""
"ACMI6","","ACMI6","Acacia microcarpa","manna wattle","","","","",""
"ACMI","","ACMI","Acacia millefolia","milfoil wattle","","","","",""
"ACMO9","","ACMO9","Acacia montana","","","","","",""
"ACMU6","","ACMU6","Acacia mucronata","narrow-leaf wattle","","","","",""
"ACMU7","","ACMU7","Acacia multispicata","","","","","",""
"ACMU","","ACMU","Acacia muricata","spineless wattle","","","","",""
"ACMY2","","ACMY2","Acacia myrtifolia","","","","","",""
"ACNE4","","ACNE4","Acacia neovernicosa","viscid acacia","","","","",""
"ACNE8","","ACNE8","Acacia neriifolia","","","","","",""
"ACNI8","","ACNI8","Acacia nigrescens","knobthorn","","","","",""
"ACNI2","","ACNI2","Acacia nilotica","gum arabic tree","","","","",""
"ACNIA3","","ACNIA3","Acacia nilotica ssp. adstringens","","","","","",""
"ACNIK2","","ACNIK2","Acacia nilotica ssp. kraussiana","","","","","",""
"ACNO5","","ACNO5","Acacia notabilis","notable wattle","","","","",""
"ACOM","","ACOM","Acacia omalophylla","yarran","","","","",""
"ACOS2","","ACOS2","Acacia oswaldii","umbrella acacia","","","","",""
"ACOX3","","ACOX3","Acacia oxycedrus","","","","","",""
"ACPA15","","ACPA15","Acacia pachyceras","","","","","",""
"ACPAN","","ACPAN","Acacia pachyceras var. najdensis","","","","","",""
"ACPA16","","ACPA16","Acacia papyrocarpa","","","","","",""
"ACPA8","","ACPA8","Acacia paradoxa","paradox acacia","","CA(BW)","STATE","",""
"ACPA81","","ACPA81","Acacia parramattensis","South Wales wattle","","","HEAR","",""
"ACPA9","","ACPA9","Acacia parvipinnula","silver-stem wattle","","","","",""
"ACPE8","","ACPE8","Acacia pendula","myall acacia","","","","",""
"ACPE9","","ACPE9","Acacia pennatula","fern-leaf acacia","","","","",""
"ACPE10","","ACPE10","Acacia penninervis","blackwood","","","","",""
"ACPE11","","ACPE11","Acacia pentagona","","","","","",""
"ACPI","","ACPI","Acacia pinetorum","pineland wattle","","","","",""
"ACPO2","","ACPO2","Acacia podalyriifolia","pearl wattle","","","","",""
"ACPO3","","ACPO3","Acacia polyacantha","catechu tree","","","","",""
"ACPOC2","","ACPOC2","Acacia polyacantha ssp. campylacantha","","","","","",""
"ACPR6","","ACPR6","Acacia pravissima","wedge-leaf wattle","","","","",""
"ACPR3","","ACPR3","Acacia prominens","goldenrain wattle","","","","",""
"ACPR4","","ACPR4","Acacia pruinosa","frosty wattle","","","","",""
"ACPU3","","ACPU3","Acacia pulchella","","","","","",""
"ACPY3","","ACPY3","Acacia pycnantha","golden wattle","","","","",""
"ACPY4","","ACPY4","Acacia pyrifolia","","","","","",""
"ACQU2","","ACQU2","Acacia quornensis","quorn wattle","","","","",""
"ACRA5","","ACRA5","Acacia ramulosa","","","","","",""
"ACRE9","","ACRE9","Acacia redolens","bank catclaw","","","","",""
"ACRE8","","ACRE8","Acacia rehmanniana","acacia","","","","",""
"ACRE2","","ACRE2","Acacia retinodes","water wattle","","","","",""
"ACRE4","","ACRE4","Acacia retusa","catch and keep","","","","",""
"ACRI10","","ACRI10","Acacia richii","","","","","",""
"ACRI6","","ACRI6","Acacia rigens","nealie","","","","",""
"ACRI","","ACRI","Acacia rigidula","blackbrush acacia","","","","",""
"ACRI7","","ACRI7","Acacia rivalis","creek wattle","","","","",""
"ACRO5","","ACRO5","Acacia robusta","","","","","",""
"ACRO","","ACRO","Acacia roemeriana","roundflower catclaw","","","","",""
"ACRO6","","ACRO6","Acacia rossei","","","","","",""
"ACRU11","","ACRU11","Acacia rubida","red-leaf wattle","","","","",""
"ACRU12","","ACRU12","Acacia rupicola","","","","","",""
"ACSA9","","ACSA9","Acacia saliciformis","","","","","",""
"ACSA10","","ACSA10","Acacia salicina","cooba","","","","",""
"ACSA","","ACSA","Acacia saligna","orange wattle","","","","",""
"ACSC2","","ACSC2","Acacia schaffneri","Schaffner's wattle","","","","",""
"ACSCB","","ACSCB","Acacia schaffneri var. bravoensis","Schaffner's wattle","","","","",""
"ACSCS2","","ACSCS2","Acacia schaffneri var. schaffneri","Schaffner's wattle","","","","",""
"ACSC","","ACSC","Acacia schottii","Schott's wattle","","","","",""
"ACSC9","","ACSC9","Acacia schweinfurthii","","","","","",""
"ACSC10","","ACSC10","Acacia sclerosperma","acacia","","","","",""
"ACSC12","","ACSC12","Acacia scleroxyla","","","","","",""
"ACSE6","","ACSE6","Acacia senegal","gum arabic","","","","",""
"ACSER2","","ACSER2","Acacia senegal var. rostrata","","","","","",""
"ACSE7","","ACSE7","Acacia seyal","talh","","","","",""
"ACSI7","","ACSI7","Acacia sieberiana","","","","","",""
"ACSIW2","","ACSIW2","Acacia sieberiana var. woodii","paperbark-thorn","","","","",""
"ACSI5","","ACSI5","Acacia silvestris","red wattle","","","","",""
"ACSO4","","ACSO4","Acacia sophorae","acacia","","","","",""
"ACSP9","","ACSP9","Acacia spectabilis","glory wattle","","","","",""
"ACSP4","","ACSP4","Acacia sphaerocephala","bee wattle","","","","",""
"ACST5","","ACST5","Acacia stenophylla","Dalby myall","","","","",""
"ACST8","","ACST8","Acacia stowardii","bastard mulga","","","","",""
"ACST6","","ACST6","Acacia stricta","","","","","",""
"ACSU9","","ACSU9","Acacia suaveolens","sweet acacia","","","","",""
"ACSU11","","ACSU11","Acacia sublanata","","","","","",""
"ACSU10","","ACSU10","Acacia subulata","awl-leaf wattle","","","","",""
"ACSW2","","ACSW2","Acacia swazica","","","","","",""
"ACTE9","","ACTE9","Acacia terminalis","","","","","",""
"ACTE8","","ACTE8","Acacia tetragonophylla","dead finish","","","","",""
"ACTO6","","ACTO6","Acacia tortilis","umbrella thorn","","","","",""
"ACTOH2","","ACTOH2","Acacia tortilis ssp. heteracantha","","","","","",""
"ACTOS2","","ACTOS2","Acacia tortilis ssp. spirocarpa","","","","","",""
"ACTO","","ACTO","Acacia tortuosa","poponax","","","","","FL(E)"
"ACTR6","","ACTR6","Acacia trineura","","","","","",""
"ACUL2","","ACUL2","Acacia ulicifolia","juniper wattle","","","","",""
"ACUN2","","ACUN2","Acacia uncinata","","","","","",""
"ACUN3","","ACUN3","Acacia undulifolia","","","","","",""
"ACUR2","","ACUR2","Acacia urophylla","","","","","",""
"ACVE5","","ACVE5","Acacia verniciflua","","","","","",""
"ACVE2","","ACVE2","Acacia verticillata","prickly Moses","","","","",""
"ACVI7","","ACVI7","Acacia victoriae","bramble acacia","","","","",""
"ACVI9","","ACVI9","Acacia viscidula","","","","","",""
"ACVI10","","ACVI10","Acacia visco","","","","","",""
"ACVO","","ACVO","Acacia vogeliana","macata bourse bastard","","","","",""
"ACWA3","","ACWA3","Acacia wattsiana","","","","","",""
"ACWI2","","ACWI2","Acacia willardiana","","","","","",""
"ACXA3","","ACXA3","Acacia xanthophloea","fevertree","","","","",""
"ACACI2","","ACACI2","Acaciella","","","","","",""
"ACAN11","","ACAN11","Acaciella angustissima","prairie acacia","","","","",""
"ACANC3","","ACANC3","Acaciella angustissima var. chisosiana","Chisos prairie acacia","","","","",""
"ACANH2","","ACANH2","Acaciella angustissima var. hirta","prairie acacia","","","","",""
"ACGL7","","ACGL7","Acaciella glauca","acacia","","","","",""
"ACLE10","","ACLE10","Acaciella leucothrix","whitehair acacia","","","","",""
"ACSH2","","ACSH2","Acaciella shrevei","Shreve's prairie acacia","","","","",""
"ACSU12","","ACSU12","Acaciella suffrutescens","prairie acacia","","","","",""
"ACAEN","","ACAEN","Acaena","acaena","","","","",""
"ACEX","","ACEX","Acaena exigua","liliwai","","","","E",""
"ACMY3","","ACMY3","Acaena myriophylla","cadillo","","","","",""
"ACNO7","","ACNO7","Acaena novae-zelandiae","biddy-biddy","","","","",""
"ACPA14","","ACPA14","Acaena pallida","pale biddy-biddy","","CA(AW)","STATE","",""
"ACPI3","","ACPI3","Acaena pinnatifida","Argentinian biddy-biddy","","","","",""
"ACPIC2","","ACPIC2","Acaena pinnatifida var. californica","California biddy-biddy","","","","",""
"ACALY","","ACALY","Acalypha","copperleaf","","","","",""
"ACAL2","","ACAL2","Acalypha alopecuroidea","foxtail copperleaf","","","","",""
"ACAM2","","ACAM2","Acalypha amentacea","catch me if you can","","","","",""
"ACAMW","","ACAMW","Acalypha amentacea ssp. wilkesiana","Wilkes' acalypha","","","","",""
"ACAMH","","ACAMH","Acalypha amentacea var. heterotricha","","","","","",""
"ACAMP2","","ACAMP2","Acalypha amentacea var. palauensis","","","","","",""
"ACAR16","","ACAR16","Acalypha arvensis","field copperleaf","","","","",""
"ACAU6","","ACAU6","Acalypha australis","Asian copperleaf","","","","",""
"ACBE2","","ACBE2","Acalypha berteriana","Guayama Copperleaf","","","","",""
"ACBI3","","ACBI3","Acalypha bisetosa","streambank copperleaf","","","","",""
"ACCA3","","ACCA3","Acalypha californica","California copperleaf","","","","",""
"ACCH2","","ACCH2","Acalypha chamaedryfolia","bastard copperleaf","","","","",""
"ACDE4","","ACDE4","Acalypha deamii","Deam's threeseed mercury","","","","","IN (T), PA (X), TN (SC)"
"ACGR2","","ACGR2","Acalypha gracilens","slender threeseed mercury","","","","",""
"ACHI2","","ACHI2","Acalypha hispida","red-hot cat's tail","","","","",""
"ACIN12","","ACIN12","Acalypha indica","Indian acalypha","","","","",""
"ACLA9","","ACLA9","Acalypha lanceolata","","","","","",""
"ACME7","","ACME7","Acalypha mexicana","Mexican copperleaf","","","","",""
"ACMO4","","ACMO4","Acalypha monococca","slender threeseed mercury","","","","",""
"ACMO","","ACMO","Acalypha monostachya","round copperleaf","","","","",""
"ACNE","","ACNE","Acalypha neomexicana","New Mexico copperleaf","","","","",""
"ACOS","","ACOS","Acalypha ostryifolia","pineland threeseed mercury","","","KY, SWSS","",""
"ACPH3","","ACPH3","Acalypha phleoides","shrubby copperleaf","","","","",""
"ACPO","","ACPO","Acalypha poiretii","Poiret's copperleaf","","","","",""
"ACPO4","","ACPO4","Acalypha portoricensis","Puerto Rico copperleaf","","","","",""
"ACRA","","ACRA","Acalypha radians","cardinal's feather","","","","",""
"ACRH","","ACRH","Acalypha rhomboidea","common threeseed mercury","","","","",""
"ACSE","","ACSE","Acalypha setosa","Cuban copperleaf","","","","",""
"ACVI","","ACVI","Acalypha virginica","Virginia threeseed mercury","","","N'EAST, SWSS","","CT(SC)ME(PX)NH(T)NY(E)"
"ACWI","","ACWI","Acalypha wilkesiana","Wilkes' acalypha","","","","",""
"ACAMP","","ACAMP","Acamptopappus","goldenhead","","","","",""
"ACSH","","ACSH","Acamptopappus shockleyi","Shockley's goldenhead","","","","",""
"ACSP","","ACSP","Acamptopappus sphaerocephalus","rayless goldenhead","","","","",""
"ACSPH","","ACSPH","Acamptopappus sphaerocephalus var. hirtellus","rayless goldenhead","","","","",""
"ACSPS2","","ACSPS2","Acamptopappus sphaerocephalus var. sphaerocephalus","rayless goldenhead","","","","",""
"ACANT6","","ACANT6","Acanthocereus","triangle cactus","","","","",""
"ACTE4","","ACTE4","Acanthocereus tetragonus","triangle cactus","","","","","FL ()"
"ACANT2","","ACANT2","Acanthomintha","thorn-mint","","","","",""
"ACDU2","","ACDU2","Acanthomintha duttonii","San Mateo thorn-mint","","","","","CA (E)"
"ACIL","","ACIL","Acanthomintha ilicifolia","San Diego thorn-mint","","","","T"," (T)CA(E)"
"ACLA2","","ACLA2","Acanthomintha lanceolata","Santa Clara thorn-mint","","","","",""
"ACOB","","ACOB","Acanthomintha obovata","San Benito thorn-mint","","","","",""
