"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category"
"ACSE7","","ACSE7","Acacia seyal","","Acacia","","seyal","","","","","","","","","","","Delile","","","","","talh","Dicot"
"ACSI7","","ACSI7","Acacia sieberiana","","Acacia","","sieberiana","","","","","","","","","","","DC.","","","","","","Dicot"
"ACSP4","","ACSP4","Acacia sphaerocephala","","Acacia","","sphaerocephala","","","","","","","","","","","Schltdl. & Cham.","","","","","bee wattle","Dicot"
"ACSW2","","ACSW2","Acacia swazica","","Acacia","","swazica","","","","","","","","","","","Burtt Davy","","","","","","Dicot"
"ACTO6","","ACTO6","Acacia tortilis","","Acacia","","tortilis","","","","","","","","","","","(Forssk.) Hayne","","","","","umbrella thorn","Dicot"
"ACTO","","ACTO","Acacia tortuosa","","Acacia","","tortuosa","","","","","","","","","","","(L.) Willd.","","","","","poponax","Dicot"
"ACVI10","","ACVI10","Acacia visco","","Acacia","","visco","","","","","","","","","","","Lorentz ex Griseb.","","","","","","Dicot"
"ACVO","","ACVO","Acacia vogeliana","","Acacia","","vogeliana","","","","","","","","","","","Steud.","","","","","macata bourse bastard","Dicot"
"ACWI2","","ACWI2","Acacia willardiana","","Acacia","","willardiana","","","","","","","","","","","Rose","","","","","","Dicot"
"ACXA3","","ACXA3","Acacia xanthophloea","","Acacia","","xanthophloea","","","","","","","","","","","Benth.","","","","","fevertree","Dicot"
"ACAE","","ACAE","Acarospora aeruginosa","","Acarospora","","aeruginosa","","","","","","","","","","","Hasse","","","","","cracked lichen","Lichen"
"ACAL13","","ACAL13","Acarospora albomarginata","","Acarospora","","albomarginata","","","","","","","","","","","(Herre) Salisb.","","","","","cracked lichen","Lichen"
"ACAM5","","ACAM5","Acarospora americana","","Acarospora","","americana","","","","","","","","","","","H. Magn.","","","","","American cracked lichen","Lichen"
"ACAM7","","ACAM7","Acarospora amphibola","","Acarospora","","amphibola","","","","","","","","","","","Wedd.","","","","","","Lichen"
"ACAP","","ACAP","Acarospora applanata","","Acarospora","","applanata","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACAR8","","ACAR8","Acarospora arenacea","","Acarospora","","arenacea","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACAR9","","ACAR9","Acarospora arenosa","","Acarospora","","arenosa","","","","","","","","","","","Herre","","","","","cracked lichen","Lichen"
"ACAS3","","ACAS3","Acarospora asahinae","","Acarospora","","asahinae","","","","","","","","","","","H. Magn.","","","","","Asahina's cracked lichen","Lichen"
"ACAS4","","ACAS4","Acarospora asperata","","Acarospora","","asperata","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACBA4","","ACBA4","Acarospora badiofusca","","Acarospora","","badiofusca","","","","","","","","","","","(Nyl.) Th. Fr.","","","","","cracked lichen","Lichen"
"ACBU2","","ACBU2","Acarospora bullata","","Acarospora","","bullata","","","","","","","","","","","Anzi","","","","","cracked lichen","Lichen"
"ACCA14","","ACCA14","Acarospora caesiofusca","","Acarospora","","caesiofusca","","","","","","","","","","","(Müll. Arg.) H. Magn.","","","","","cracked lichen","Lichen"
"ACCA15","","ACCA15","Acarospora californica","","Acarospora","","californica","","","","","","","","","","","Zahlbr.","","","","","California cracked lichen","Lichen"
"ACCA16","","ACCA16","Acarospora canadensis","","Acarospora","","canadensis","","","","","","","","","","","H. Magn.","","","","","Canada cracked lichen","Lichen"
"ACCA17","","ACCA17","Acarospora carnegiei","","Acarospora","","carnegiei","","","","","","","","","","","Zahlbr.","","","","","Carnegie's cracked lichen","Lichen"
"ACCE","","ACCE","Acarospora cervina","","Acarospora","","cervina","","","","","","","","","","","A. Massal.","","","","","cracked lichen","Lichen"
"ACCI2","","ACCI2","Acarospora cinereoalba","","Acarospora","","cinereoalba","","","","","","","","","","","(Fink) H. Magn.","","","","","cracked lichen","Lichen"
"ACCI4","","ACCI4","Acarospora citrina","","Acarospora","","citrina","","","","","","","","","","","(Taylor) Zahlbr.","","","","","","Lichen"
"ACCL6","","ACCL6","Acarospora clauzadeana","","Acarospora","","clauzadeana","","","","","","","","","","","(Llimona) Casares & Hafellner","","","","","","Lichen"
"ACCO10","","ACCO10","Acarospora coloradiana","","Acarospora","","coloradiana","","","","","","","","","","","H. Magn.","","","","","Colorado cracked lichen","Lichen"
"ACCO11","","ACCO11","Acarospora complanata","","Acarospora","","complanata","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACDE9","","ACDE9","Acarospora desolata","","Acarospora","","desolata","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACDI4","","ACDI4","Acarospora dispersa","","Acarospora","","dispersa","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACEL2","","ACEL2","Acarospora elevata","","Acarospora","","elevata","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACFU2","","ACFU2","Acarospora fuscata","","Acarospora","","fuscata","","","","","","","","","","","(Schrad.) Arnold","","","","","cracked lichen","Lichen"
"ACFU3","","ACFU3","Acarospora fuscescens","","Acarospora","","fuscescens","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACGA2","","ACGA2","Acarospora gallica","","Acarospora","","gallica","","","","","","","","","","","H. Magn.","","","","","Gallic cracked lichen","Lichen"
"ACGE4","","ACGE4","Acarospora geogena","","Acarospora","","geogena","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACGL2","","ACGL2","Acarospora glaucocarpa","","Acarospora","","glaucocarpa","","","","","","","","","","","(Ach.) Körb.","","","","","cracked lichen","Lichen"
"ACHA3","","ACHA3","Acarospora hassei","","Acarospora","","hassei","","","","","","","","","","","Herre","","","","","Hasse's cracked lichen","Lichen"
"ACHE6","","ACHE6","Acarospora heppii","","Acarospora","","heppii","","","","","","","","","","","(Nageli ex Hepp) Nageli ex Körb.","","","","","Hepp's cracked lichen","Lichen"
"ACHE7","","ACHE7","Acarospora heufleriana","","Acarospora","","heufleriana","","","","","","","","","","","Körb.","","","","","Heufler's cracked lichen","Lichen"
"ACHI6","","ACHI6","Acarospora hilaris","","Acarospora","","hilaris","","","","","","","","","","","(Dufour) Hue","","","","","cracked lichen","Lichen"
"ACIM2","","ACIM2","Acarospora immersa","","Acarospora","","immersa","","","","","","","","","","","Fink","","","","","water cracked lichen","Lichen"
"ACIM3","","ACIM3","Acarospora impressula","","Acarospora","","impressula","","","","","","","","","","","Th. Fr.","","","","","cracked lichen","Lichen"
"ACIN5","","ACIN5","Acarospora instrata","","Acarospora","","instrata","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACIN6","","ACIN6","Acarospora interjecta","","Acarospora","","interjecta","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACIN7","","ACIN7","Acarospora interposita","","Acarospora","","interposita","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACIN8","","ACIN8","Acarospora interspersa","","Acarospora","","interspersa","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACMA10","","ACMA10","Acarospora macrospora","","Acarospora","","macrospora","","","","","","","","","","","(Hepp) Bagl.","","","","","big spore cracked lichen","Lichen"
"ACMO6","","ACMO6","Acarospora molybdina","","Acarospora","","molybdina","","","","","","","","","","","(Wahlenb.) Trevis.","","","","","molybdenum cracked lichen","Lichen"
"ACNE7","","ACNE7","Acarospora nevadensis","","Acarospora","","nevadensis","","","","","","","","","","","H. Magn.","","","","","Nevada cracked lichen","Lichen"
"ACNI6","","ACNI6","Acarospora nigromarginata","","Acarospora","","nigromarginata","","","","","","","","","","","de Lesd.","","","","","darkmargin cracked lichen","Lichen"
"ACNI7","","ACNI7","Acarospora nitida","","Acarospora","","nitida","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACNO6","","ACNO6","Acarospora nodulosa","","Acarospora","","nodulosa","","","","","","","","","","","(Dufour) Hue","","","","","nodule cracked lichen","Lichen"
"ACOB4","","ACOB4","Acarospora obnubila","","Acarospora","","obnubila","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACOB5","","ACOB5","Acarospora obpallens","","Acarospora","","obpallens","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACOL","","ACOL","Acarospora oligospora","","Acarospora","","oligospora","","","","","","","","","","","(Nyl.) Arnold","","","","","cracked lichen","Lichen"
"ACPA7","","ACPA7","Acarospora particularis","","Acarospora","","particularis","","","","","","","","","","","H. Magn.","","","","","particular cracked lichen","Lichen"
"ACPE6","","ACPE6","Acarospora peliscypha","","Acarospora","","peliscypha","","","","","","","","","","","Th. Fr.","","","","","cracked lichen","Lichen"
"ACPE7","","ACPE7","Acarospora peltastica","","Acarospora","","peltastica","","","","","","","","","","","Zahlbr.","","","","","cracked lichen","Lichen"
"ACPY2","","ACPY2","Acarospora pyrenopsoides","","Acarospora","","pyrenopsoides","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACRA4","","ACRA4","Acarospora radicata","","Acarospora","","radicata","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACRE7","","ACRE7","Acarospora reagens","","Acarospora","","reagens","","","","","","","","","","","Zahlbr.","","","","","","Lichen"
"ACRU5","","ACRU5","Acarospora rugulosa","","Acarospora","","rugulosa","","","","","","","","","","","Körb.","","","","","cracked lichen","Lichen"
"ACSA6","","ACSA6","Acarospora saepincola","","Acarospora","","saepincola","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACSC4","","ACSC4","Acarospora scabrida","","Acarospora","","scabrida","","","","","","","","","","","Hedl. ex H. Magn.","","","","","cracked lichen","Lichen"
"ACSC5","","ACSC5","Acarospora schleicheri","","Acarospora","","schleicheri","","","","","","","","","","","(Ach.) A. Massal.","","","","","Schleicher's cracked lichen","Lichen"
"ACSC6","","ACSC6","Acarospora scotica","","Acarospora","","scotica","","","","","","","","","","","Hue","","","","","cracked lichen","Lichen"
