"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category"
"MYHY","","MYHY","Mycobilimbia hypnorum","","Mycobilimbia","","hypnorum","","","","","","","","","","","(Lib.) Kalb. & Hafellner","","","","","mycobilimbia lichen","Lichen"
"MYLO","","MYLO","Mycobilimbia lobulata","","Mycobilimbia","","lobulata","","","","","","","","","","","(Sommerf.) Hafellner","","","","","mycobilimbia lichen","Lichen"
"MYSP5","","MYSP5","Mycobilimbia sphaeroides","","Mycobilimbia","","sphaeroides","","","","","","","","","","","D.D. Awasthi","","","","","","Lichen"
"MYTE4","","MYTE4","Mycobilimbia tetramera","","Mycobilimbia","","tetramera","","","","","","","","","","","(De Not.) W. Brunnbauer","","","","","","Lichen"
"MYAF","","MYAF","Mycoblastus affinis","","Mycoblastus","","affinis","","","","","","","","","","","(Schaerer) Schauer","","","","","blood lichen","Lichen"
"MYAL5","","MYAL5","Mycoblastus alpinus","","Mycoblastus","","alpinus","","","","","","","","","","","(Fr.) Kernst.","","","","","alpine blood lichen","Lichen"
"MYCA11","","MYCA11","Mycoblastus caesius","","Mycoblastus","","caesius","","","","","","","","","","","(Coppins & P. James) Tønsberg","","","","","","Lichen"
"MYFU3","","MYFU3","Mycoblastus fucatus","","Mycoblastus","","fucatus","","","","","","","","","","","(Stirt.) Zahlbr.","","","","","","Lichen"
"MYMA3","","MYMA3","Mycoblastus marginatus","","Mycoblastus","","marginatus","","","","","","","","","","","Degel.","","","","","blood lichen","Lichen"
"MYSA5","","MYSA5","Mycoblastus sanguinarius","","Mycoblastus","","sanguinarius","","","","","","","","","","","(L.) Norman","","","","","blood lichen","Lichen"
"MYAL7","","MYAL7","Mycocalicium albonigrum","","Mycocalicium","","albonigrum","","","","","","","","","","","(Nyl.) Fink","","","","","mycocalicium lichen","Lichen"
"MYAM","","MYAM","Mycocalicium americanum","","Mycocalicium","","americanum","","","","","","","","","","","(R. Sant.) Tibell","","","","","American mycocalicium lichen","Lichen"
"MYCA6","","MYCA6","Mycocalicium calicioides","","Mycocalicium","","calicioides","","","","","","","","","","","(Nadv.) Tibell","","","","","mycocalicium lichen","Lichen"
"MYFU2","","MYFU2","Mycocalicium fuscipes","","Mycocalicium","","fuscipes","","","","","","","","","","","(Tuck.) Fink","","","","","mycocalicium lichen","Lichen"
"MYRA","","MYRA","Mycocalicium rappii","","Mycocalicium","","rappii","","","","","","","","","","","Nadv.","","","","","Rapp's mycocalicium lichen","Lichen"
"MYRA2","","MYRA2","Mycocalicium ravenelii","","Mycocalicium","","ravenelii","","","","","","","","","","","(Tuck.) Fink","","","","","Ravenel's mycocalicium lichen","Lichen"
"MYRE","","MYRE","Mycocalicium reticulatum","","Mycocalicium","","reticulatum","","","","","","","","","","","Nadv.","","","","","reticulate mycocalicium lichen","Lichen"
"MYSE3","","MYSE3","Mycocalicium sequoiae","","Mycocalicium","","sequoiae","","","","","","","","","","","Bonar","","","","","Sequoia mycocalicium lichen","Lichen"
"MYSU","","MYSU","Mycocalicium subtile","","Mycocalicium","","subtile","","","","","","","","","","","(Pers.) Szat.","","","","","mycocalicium lichen","Lichen"
"MYAC2","","MYAC2","Mycoglaena acuminans","","Mycoglaena","","acuminans","","","","","","","","","","","(Nyl.) Vain.","","","","","","Lichen"
"MYAL9","","MYAL9","Mycoglaena alni","","Mycoglaena","","alni","","","","","","","","","","","(Dearness & House) Barr","","","","","","Lichen"
"MYCA12","","MYCA12","Mycoglaena canadensis","","Mycoglaena","","canadensis","","","","","","","","","","","(Ellis & Everh.) Bar","","","","","","Lichen"
"MYEL2","","MYEL2","Mycoglaena elegans","","Mycoglaena","","elegans","","","","","","","","","","","(Berk. & Curtis) Hohnel","","","","","","Lichen"
"MYME3","","MYME3","Mycoglaena meridionalis","","Mycoglaena","","meridionalis","","","","","","","","","","","(Zahlbr.) Szat.","","","","","mycoglaena","Lichen"
"MYMY2","","MYMY2","Mycoglaena myricae","","Mycoglaena","","myricae","","","","","","","","","","","(Nyl.) R.C. Harris","","","","","mycoglaena","Lichen"
"MYQU2","","MYQU2","Mycoglaena quercicola","","Mycoglaena","","quercicola","","","","","","","","","","","R.C. Harris","","","","","mycoglaena","Lichen"
"MYSU4","","MYSU4","Mycoglaena subcoerulescens","","Mycoglaena","","subcoerulescens","","","","","","","","","","","(Nyl.) Hohnel","","","","","","Lichen"
"MYCA7","","MYCA7","Mycomicrothelia capitosa","","Mycomicrothelia","","capitosa","","","","","","","","","","","(Krempelh.) D. Hawksw.","","","","","mycomicrothelia lichen","Lichen"
"MYDO","","MYDO","Mycomicrothelia dothideaspora","","Mycomicrothelia","","dothideaspora","","","","","","","","","","","(Cooke & Harkness) D. Hawksw.","","","","","mycomicrothelia lichen","Lichen"
"MYHE4","","MYHE4","Mycomicrothelia hemisphaerica","","Mycomicrothelia","","hemisphaerica","","","","","","","","","","","(Müll. Arg.) D. Hawksw.","","","","","","Lichen"
"MYIN2","","MYIN2","Mycomicrothelia inaequalis","","Mycomicrothelia","","inaequalis","","","","","","","","","","","(Fabre) D. Hawksw.","","","","","mycomicrothelia lichen","Lichen"
"MYSU2","","MYSU2","Mycomicrothelia subfallens","","Mycomicrothelia","","subfallens","","","","","","","","","","","(Müll. Arg.) D. Hawksw.","","","","","mycomicrothelia lichen","Lichen"
"MYWA2","","MYWA2","Mycomicrothelia wallrothii","","Mycomicrothelia","","wallrothii","","","","","","","","","","","(Hepp) D. Hawksw.","","","","","Wallroth's mycomicrothelia lichen","Lichen"
"MYWI","","MYWI","Mycomicrothelia willeyana","","Mycomicrothelia","","willeyana","","","","","","","","","","","(Müll. Arg.) D. Hawksw.","","","","","Willey's mycomicrothelia lichen","Lichen"
"MYAC3","","MYAC3","Mycoporum acervatum","","Mycoporum","","acervatum","","","","","","","","","","","R.C. Harris","","","","","","Lichen"
"MYAN","","MYAN","Mycoporum antecellens","","Mycoporum","","antecellens","","","","","","","","","","","(Nyl.) R.C. Harris","","","","","","Lichen"
"MYBU2","","MYBU2","Mycoporum buckii","","Mycoporum","","buckii","","","","","","","","","","","R.C. Harris","","","","","","Lichen"
"MYCA15","","MYCA15","Mycoporum californicum","","Mycoporum","","californicum","","","","","","","","","","","(Zahlbr.) R.C. Harris","","","","","","Lichen"
"MYCO6","","MYCO6","Mycoporum compositum","","Mycoporum","","compositum","","","","","","","","","","","(A. Massal.) R.C. Harris","","","","","mycoporum lichen","Lichen"
"MYES","","MYES","Mycoporum eschweileri","","Mycoporum","","eschweileri","","","","","","","","","","","(Müll. Arg.) R.C. Harris","","","","","","Lichen"
"MYLA8","","MYLA8","Mycoporum lacteum","","Mycoporum","","lacteum","","","","","","","","","","","(Ach.) R.C. Harris","","","","","","Lichen"
"MYMY3","","MYMY3","Mycoporum mycoporoides","","Mycoporum","","mycoporoides","","","","","","","","","","","(Müll. Arg.) R.C. Harris","","","","","","Lichen"
"MYPY","","MYPY","Mycoporum pycnocarpoides","","Mycoporum","","pycnocarpoides","","","","","","","","","","","Müll. Arg.","","","","","mycoporum lichen","Lichen"
"MYSP6","","MYSP6","Mycoporum sparsellum","","Mycoporum","","sparsellum","","","","","","","","","","","Nyl.","","","","","","Lichen"
"MYUN","","MYUN","Mycoporum uniloculatum","","Mycoporum","","uniloculatum","","","","","","","","","","","R.C. Harris","","","","","","Lichen"
"MYAU","","MYAU","Myelochroa aurulenta","","Myelochroa","","aurulenta","","","","","","","","","","","(Tuck.) Elix & Hale","","","","","myelochroa lichen","Lichen"
"MYGA2","","MYGA2","Myelochroa galbina","","Myelochroa","","galbina","","","","","","","","","","","(Ach.) Elix & Hale","","","","","myelochroa lichen","Lichen"
"MYME4","","MYME4","Myelochroa metarevoluta","","Myelochroa","","metarevoluta","","","","","","","","","","","(Asah.) Elix & Hale","","","","","myelochroa lichen","Lichen"
"MYOB2","","MYOB2","Myelochroa obsessa","","Myelochroa","","obsessa","","","","","","","","","","","(Ach.) Elix & Hale","","","","","myelochroa lichen","Lichen"
"MYAL8","","MYAL8","Myrionora albidula","","Myrionora","","albidula","","","","","","","","","","","(Willey) R.C. Harris","","","","","myrionora","Lichen"
"MYBA4","","MYBA4","Myriotrema bahianum","","Myriotrema","","bahianum","","","","","","","","","","","(Ach.) Hale","","","","","","Lichen"
"MYCO7","","MYCO7","Myriotrema compunctum","","Myriotrema","","compunctum","","","","","","","","","","","(Ach.) Hale","","","","","myriotrema lichen","Lichen"
"MYER","","MYER","Myriotrema erodens","","Myriotrema","","erodens","","","","","","","","","","","R.C. Harris","","","","","","Lichen"
"MYGL2","","MYGL2","Myriotrema glaucescens","","Myriotrema","","glaucescens","","","","","","","","","","","(Nyl.) Hale","","","","","myriotrema lichen","Lichen"
"MYGL3","","MYGL3","Myriotrema glaucophaeum","","Myriotrema","","glaucophaeum","","","","","","","","","","","(Krempelh.) Hale","","","","","myriotrema lichen","Lichen"
"MYGL4","","MYGL4","Myriotrema glauculum","","Myriotrema","","glauculum","","","","","","","","","","","(Nyl.) Hale","","","","","","Lichen"
"MYLA7","","MYLA7","Myriotrema laeviusculum","","Myriotrema","","laeviusculum","","","","","","","","","","","(Nyl.) Hale","","","","","myriotrema lichen","Lichen"
"MYMI4","","MYMI4","Myriotrema microporum","","Myriotrema","","microporum","","","","","","","","","","","(Mont.) Hale","","","","","myriotrema lichen","Lichen"
"MYPE6","","MYPE6","Myriotrema peninsulae","","Myriotrema","","peninsulae","","","","","","","","","","","R.C. Harris","","","","","","Lichen"
"MYRE2","","MYRE2","Myriotrema reclusum","","Myriotrema","","reclusum","","","","","","","","","","","(Krempelh.) Hale","","","","","myriotrema lichen","Lichen"
"MYRU2","","MYRU2","Myriotrema rugiferum","","Myriotrema","","rugiferum","","","","","","","","","","","(Harm.) Hale","","","","","","Lichen"
"MYSU3","","MYSU3","Myriotrema subcompunctum","","Myriotrema","","subcompunctum","","","","","","","","","","","(Nyl.) Hale","","","","","myriotrema lichen","Lichen"
"MYTE2","","MYTE2","Myriotrema terebratulum","","Myriotrema","","terebratulum","","","","","","","","","","","(Nyl.) Hale","","","","","myriotrema lichen","Lichen"
"MYWI2","","MYWI2","Myriotrema wightii","","Myriotrema","","wightii","","","","","","","","","","","(Taylor) Hale","","","","","Wight's myriotrema lichen","Lichen"
"MYBI","","MYBI","Myxotrichum bicolor","","Myxotrichum","","bicolor","","","","","","","","","","","(Ehrenb. ex Pers.) Fr.","","","","","","Lichen"
"NAHA3","","NAHA3","Nadvornikia hawaiensis","","Nadvornikia","","hawaiensis","","","","","","","","","","","(Tuck.) Tibell","","","","","Hawaiian nadvornikia","Lichen"
"NASO","","NASO","Nadvornikia sorediata","","Nadvornikia","","sorediata","","","","","","","","","","","R.C. Harris","","","","","","Lichen"
"NAPS2","","NAPS2","Nanostictis pseudocyphellariae","","Nanostictis","","pseudocyphellariae","","","","","","","","","","","Sherwood","","","","","","Lichen"
"NELE2","","NELE2","Nectria lecanodes","","Nectria","","lecanodes","","","","","","","","","","","Ces.","","","","","","Lichen"
"NEPA6","","NEPA6","Nectria parmeliae","","Nectria","","parmeliae","","","","","","","","","","","(Berk. & Curt.) D. Hawskw.","","","","","","Lichen"
"NERU2","","NERU2","Nectria rubifaciens","","Nectria","","rubifaciens","","","","","","","","","","","Ellis & Everh.","","","","","","Lichen"
"NEZO","","NEZO","Nectria zonata","","Nectria","","zonata","","","","","","","","","","","Seaver","","","","","","Lichen"
"NEAH","","NEAH","Neofuscelia ahtii","","Neofuscelia","","ahtii","","","","","","","","","","","(Essl.) Essl.","","","","","Ahti's neofuscelia lichen","Lichen"
"NEAT","","NEAT","Neofuscelia atticoides","","Neofuscelia","","atticoides","","","","","","","","","","","(Essl.) Essl.","","","","","neofuscelia lichen","Lichen"
"NEBR3","","NEBR3","Neofuscelia brunella","","Neofuscelia","","brunella","","","","","","","","","","","(Essl.) Essl.","","","","","neofuscelia lichen","Lichen"
"NECH","","NECH","Neofuscelia chiricahuensis","","Neofuscelia","","chiricahuensis","","","","","","","","","","","(R. Anderson & W.A. Weber) Essl.","","","","","Chiricahua neofuscelia lichen","Lichen"
"NEIN4","","NEIN4","Neofuscelia infrapallida","","Neofuscelia","","infrapallida","","","","","","","","","","","(Essl.) Essl.","","","","","neofuscelia lichen","Lichen"
"NELO4","","NELO4","Neofuscelia loxodes","","Neofuscelia","","loxodes","","","","","","","","","","","(Nyl.) Essl.","","","","","neofuscelia lichen","Lichen"
"NEOC2","","NEOC2","Neofuscelia occidentalis","","Neofuscelia","","occidentalis","","","","","","","","","","","(Essl.) Essl.","","","","","western neofuscelia lichen","Lichen"
"NEPU6","","NEPU6","Neofuscelia pustulosa","","Neofuscelia","","pustulosa","","","","","","","","","","","(Essl.) Essl.","","","","","neofuscelia lichen","Lichen"
"NESU","","NESU","Neofuscelia subhosseana","","Neofuscelia","","subhosseana","","","","","","","","","","","(Essl.) Essl.","","","","","neofuscelia lichen","Lichen"
"NEVE3","","NEVE3","Neofuscelia verruculifera","","Neofuscelia","","verruculifera","","","","","","","","","","","(Nyl.) Essl.","","","","","neofuscelia lichen","Lichen"
"NEAR60","","NEAR60","Nephroma arcticum","","Nephroma","","arcticum","","","","","","","","","","","(L.) Torss.","","","","","arctic kidney lichen","Lichen"
"NEBE60","","NEBE60","Nephroma bellum","","Nephroma","","bellum","","","","","","","","","","","(Spreng.) Tuck.","","","","","kidney lichen","Lichen"
"NEEX2","","NEEX2","Nephroma expallidum","","Nephroma","","expallidum","","","","","","","","","","","(Nyl.) Nyl.","","","","","kidney lichen","Lichen"
"NEHE4","","NEHE4","Nephroma helveticum","","Nephroma","","helveticum","","","","","","","","","","","Ach.","","","","","Swiss kidney lichen","Lichen"
"NEIS60","","NEIS60","Nephroma isidiosum","","Nephroma","","isidiosum","","","","","","","","","","","(Nyl.) Gyel.","","","","","kidney lichen","Lichen"
"NELA3","","NELA3","Nephroma laevigatum","","Nephroma","","laevigatum","","","","","","","","","","","Ach.","","","","","kidney lichen","Lichen"
"NEOC3","","NEOC3","Nephroma occultum","","Nephroma","","occultum","","","","","","","","","","","Wetmore","","","","","kidney lichen","Lichen"
"NEPA60","","NEPA60","Nephroma parile","","Nephroma","","parile","","","","","","","","","","","(Ach.) Ach.","","","","","kidney lichen","Lichen"
"NERE60","","NERE60","Nephroma resupinatum","","Nephroma","","resupinatum","","","","","","","","","","","(L.) Ach.","","","","","kidney lichen","Lichen"
"NESI4","","NESI4","Nephroma silvae-veteris","","Nephroma","","silvae-veteris","","","","","","","","","","","Goward & Goffinet","","","","","","Lichen"
"NICA","","NICA","Niebla caespitosa","","Niebla","","caespitosa","","","","","","","","","","","Spjut","","","","","","Lichen"
"NICO3","","NICO3","Niebla cornea","","Niebla","","cornea","","","","","","","","","","","Spjut","","","","","","Lichen"
"NIDA2","","NIDA2","Niebla dactylifera","","Niebla","","dactylifera","","","","","","","","","","","Spjut","","","","","","Lichen"
"NIDI","","NIDI","Niebla disrupta","","Niebla","","disrupta","","","","","","","","","","","(Nyl.) Spjut","","","","","","Lichen"
"NIDI2","","NIDI2","Niebla dissecta","","Niebla","","dissecta","","","","","","","","","","","Spjut","","","","","","Lichen"
"NIEB","","NIEB","Niebla eburnea","","Niebla","","eburnea","","","","","","","","","","","Spjut","","","","","","Lichen"
"NIFI","","NIFI","Niebla fimbriata","","Niebla","","fimbriata","","","","","","","","","","","Spjut","","","","","","Lichen"
"NIFL2","","NIFL2","Niebla flagelliforma","","Niebla","","flagelliforma","","","","","","","","","","","Spjut","","","","","","Lichen"
"NIHA","","NIHA","Niebla halei","","Niebla","","halei","","","","","","","","","","","Spjut","","","","","","Lichen"
"NIHO","","NIHO","Niebla homalea","","Niebla","","homalea","","","","","","","","","","","(Ach.) Rundel & Bowler","","","","","niebla lichen","Lichen"
"NIIN","","NIIN","Niebla infundibula","","Niebla","","infundibula","","","","","","","","","","","Spjut","","","","","","Lichen"
"NIIS","","NIIS","Niebla isidiascens","","Niebla","","isidiascens","","","","","","","","","","","Bowler, Marsh, T. Nash & Riefner","","","","","","Lichen"
"NILA3","","NILA3","Niebla laminaria","","Niebla","","laminaria","","","","","","","","","","","Spjut","","","","","","Lichen"
"NIPA3","","NIPA3","Niebla palmeri","","Niebla","","palmeri","","","","","","","","","","","Spjut","","","","","","Lichen"
"NIRA","","NIRA","Niebla ramosissima","","Niebla","","ramosissima","","","","","","","","","","","Spjut","","","","","","Lichen"
"NISI","","NISI","Niebla siphonoloba","","Niebla","","siphonoloba","","","","","","","","","","","Spjut","","","","","","Lichen"
"NISO","","NISO","Niebla sorediata","","Niebla","","sorediata","","","","","","","","","","","Spjut","","","","","","Lichen"
"NISO2","","NISO2","Niebla sorocarpia","","Niebla","","sorocarpia","","","","","","","","","","","Spjut","","","","","","Lichen"
"NITE","","NITE","Niebla testudinaria","","Niebla","","testudinaria","","","","","","","","","","","(Nyl.) Spjut","","","","","","Lichen"
"NIUN","","NIUN","Niebla undulata","","Niebla","","undulata","","","","","","","","","","","Spjut","","","","","","Lichen"
"NOAB","","NOAB","Nodobryoria abbreviata","","Nodobryoria","","abbreviata","","","","","","","","","","","(Müll. Arg.) Common & Brodo","","","","","","Lichen"
"NOOR3","","NOOR3","Nodobryoria oregana","","Nodobryoria","","oregana","","","","","","","","","","","(Tuck.) Common & Brodo","","","","","","Lichen"
"NOSU2","","NOSU2","Nodobryoria subdivergens","","Nodobryoria","","subdivergens","","","","","","","","","","","(E. Dahl) Common & Brodo","","","","","","Lichen"
"NOPU","","NOPU","Normandina pulchella","","Normandina","","pulchella","","","","","","","","","","","(Borrer) Nyl.","","","","","clam lichen","Lichen"
"OCAM","","OCAM","Ocellularia americana","","Ocellularia","","americana","","","","","","","","","","","Hale","","","","","American ocellularia lichen","Lichen"
"OCAU","","OCAU","Ocellularia auberiana","","Ocellularia","","auberiana","","","","","","","","","","","(Mont.) Hale","","","","","ocellularia lichen","Lichen"
"OCCA","","OCCA","Ocellularia cavata","","Ocellularia","","cavata","","","","","","","","","","","(Ach.) Müll. Arg.","","","","","ocellularia lichen","Lichen"
"OCCO3","","OCCO3","Ocellularia concolor","","Ocellularia","","concolor","","","","","","","","","","","Meyen & Flotow","","","","","","Lichen"
"OCEM","","OCEM","Ocellularia emersa","","Ocellularia","","emersa","","","","","","","","","","","(Krempelh.) Müll. Arg.","","","","","","Lichen"
"OCFI","","OCFI","Ocellularia fissa","","Ocellularia","","fissa","","","","","","","","","","","(Nyl.) Hale","","","","","","Lichen"
"OCGR4","","OCGR4","Ocellularia granulosa","","Ocellularia","","granulosa","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","","Lichen"
"OCLE3","","OCLE3","Ocellularia leiostoma","","Ocellularia","","leiostoma","","","","","","","","","","","(Tuck.) R.C. Harris","","","","","","Lichen"
"OCPR","","OCPR","Ocellularia praestans","","Ocellularia","","praestans","","","","","","","","","","","(Müll. Arg.) Hale","","","","","","Lichen"
"OCRE","","OCRE","Ocellularia retispora","","Ocellularia","","retispora","","","","","","","","","","","R.C. Harris","","","","","","Lichen"
"OCSA4","","OCSA4","Ocellularia sanfordiana","","Ocellularia","","sanfordiana","","","","","","","","","","","(Zahlbr.) Hale","","","","","Sanford's ocellularia lichen","Lichen"
"OCST","","OCST","Ocellularia stictidea","","Ocellularia","","stictidea","","","","","","","","","","","(Nyl.) Vezda","","","","","ocellularia lichen","Lichen"
"OCAF","","OCAF","Ochrolechia africana","","Ochrolechia","","africana","","","","","","","","","","","Vain.","","","","","","Lichen"
"OCAN","","OCAN","Ochrolechia androgyna","","Ochrolechia","","androgyna","","","","","","","","","","","(Hoffm.) Arnold","","","","","crabseye lichen","Lichen"
"OCAN2","","OCAN2","Ochrolechia antillarum","","Ochrolechia","","antillarum","","","","","","","","","","","Brodo","","","","","","Lichen"
"OCAR","","OCAR","Ochrolechia arborea","","Ochrolechia","","arborea","","","","","","","","","","","(Kreyer) Almb.","","","","","tree crabseye lichen","Lichen"
"OCBR","","OCBR","Ochrolechia bryophaga","","Ochrolechia","","bryophaga","","","","","","","","","","","(Erichsen) K. Schmitz & Lumbsch","","","","","","Lichen"
"OCFA","","OCFA","Ochrolechia farinacea","","Ochrolechia","","farinacea","","","","","","","","","","","Howard","","","","","farinose crabseye lichen","Lichen"
"OCFR60","","OCFR60","Ochrolechia frigida","","Ochrolechia","","frigida","","","","","","","","","","","(Sw.) Lynge","","","","","cold crabseye lichen","Lichen"
"OCGO2","","OCGO2","Ochrolechia gowardii","","Ochrolechia","","gowardii","","","","","","","","","","","Brodo","","","","","","Lichen"
"OCGR2","","OCGR2","Ochrolechia grimmiae","","Ochrolechia","","grimmiae","","","","","","","","","","","Lynge","","","","","grimmia crabseye lichen","Lichen"
"OCGR3","","OCGR3","Ochrolechia groenlandica","","Ochrolechia","","groenlandica","","","","","","","","","","","Verseghy","","","","","Greenland crabseye lichen","Lichen"
"OCGY","","OCGY","Ochrolechia gyalectina","","Ochrolechia","","gyalectina","","","","","","","","","","","(Nyl.) Zahlbr.","","","","","crabseye lichen","Lichen"
"OCIN60","","OCIN60","Ochrolechia inaequatula","","Ochrolechia","","inaequatula","","","","","","","","","","","(Nyl.) Zahlbr.","","","","","crabseye lichen","Lichen"
"OCJU","","OCJU","Ochrolechia juvenalis","","Ochrolechia","","juvenalis","","","","","","","","","","","Brodo","","","","","","Lichen"
"OCLA3","","OCLA3","Ochrolechia laevigata","","Ochrolechia","","laevigata","","","","","","","","","","","(Rasanen) Verseghy ex Brodo","","","","","crabseye lichen","Lichen"
"OCME3","","OCME3","Ochrolechia mexicana","","Ochrolechia","","mexicana","","","","","","","","","","","Vain.","","","","","","Lichen"
"OCMO3","","OCMO3","Ochrolechia montana","","Ochrolechia","","montana","","","","","","","","","","","Brodo","","","","","","Lichen"
"OCOR60","","OCOR60","Ochrolechia oregonensis","","Ochrolechia","","oregonensis","","","","","","","","","","","H. Magn.","","","","","Oregon crabseye lichen","Lichen"
"OCPS2","","OCPS2","Ochrolechia pseudopallescens","","Ochrolechia","","pseudopallescens","","","","","","","","","","","Brodo","","","","","","Lichen"
"OCRH2","","OCRH2","Ochrolechia rhodoleuca","","Ochrolechia","","rhodoleuca","","","","","","","","","","","(Th. Fr.) Brodo","","","","","crabseye lichen","Lichen"
"OCSU","","OCSU","Ochrolechia subathallina","","Ochrolechia","","subathallina","","","","","","","","","","","H. Magn.","","","","","crabseye lichen","Lichen"
"OCSU6","","OCSU6","Ochrolechia subisidiata","","Ochrolechia","","subisidiata","","","","","","","","","","","Brodo","","","","","","Lichen"
"OCSU2","","OCSU2","Ochrolechia subpallescens","","Ochrolechia","","subpallescens","","","","","","","","","","","Verseghy","","","","","crabseye lichen","Lichen"
"OCSU5","","OCSU5","Ochrolechia subplicans","","Ochrolechia","","subplicans","","","","","","","","","","","(Nyl.) Brodo","","","","","crabseye lichen","Lichen"
"OCSZ","","OCSZ","Ochrolechia szatalaensis","","Ochrolechia","","szatalaensis","","","","","","","","","","","Verseghy","","","","","Szatala's crabseye lichen","Lichen"
"OCTA","","OCTA","Ochrolechia tartarea","","Ochrolechia","","tartarea","","","","","","","","","","","(L.) A. Massal.","","","","","crabseye lichen","Lichen"
"OCTR","","OCTR","Ochrolechia trachydactyla","","Ochrolechia","","trachydactyla","","","","","","","","","","","Vain.","","","","","crabseye lichen","Lichen"
"OCTR2","","OCTR2","Ochrolechia trochophora","","Ochrolechia","","trochophora","","","","","","","","","","","(Vain.) Oshio","","","","","","Lichen"
"OCTU2","","OCTU2","Ochrolechia turneri","","Ochrolechia","","turneri","","","","","","","","","","","(Sm.) Hasselrot","","","","","Turner's crabseye lichen","Lichen"
"OCUP60","","OCUP60","Ochrolechia upsaliensis","","Ochrolechia","","upsaliensis","","","","","","","","","","","(L.) A. Massal.","","","","","Upsala crabseye lichen","Lichen"
"OCXA","","OCXA","Ochrolechia xanthostoma","","Ochrolechia","","xanthostoma","","","","","","","","","","","(Sommerf.) K. Schmitz & Lumbsch","","","","","","Lichen"
"OCYA","","OCYA","Ochrolechia yasudae","","Ochrolechia","","yasudae","","","","","","","","","","","Vain.","","","","","Yasuda's crabseye lichen","Lichen"
"OMAL2","","OMAL2","Omphalina alpina","","Omphalina","","alpina","","","","","","","","","","","(Britzelm.) Bresinsky & Stangl","","","","","","Lichen"
"OMHU","","OMHU","Omphalina hudsoniana","","Omphalina","","hudsoniana","","","","","","","","","","","(H.S. Jenn.) H.E. Bigelow","","","","","","Lichen"
"OMUM","","OMUM","Omphalina umbellifera","","Omphalina","","umbellifera","","","","","","","","","","","(L. ex Fr.) Quelet","","","","","","Lichen"
"OMVE2","","OMVE2","Omphalina velutina","","Omphalina","","velutina","","","","","","","","","","","(Quelet) Quelet","","","","","","Lichen"
"OMAR","","OMAR","Omphalora arizonica","","Omphalora","","arizonica","","","","","","","","","","","(Tuck. ex Willey) T. Nash & Hafellner","","","","","Arizona omphalora","Lichen"
"OPAG2","","OPAG2","Opegrapha agelaea","","Opegrapha","","agelaea","","","","","","","","","","","Fée","","","","","scribble lichen","Lichen"
"OPAS","","OPAS","Opegrapha astraea","","Opegrapha","","astraea","","","","","","","","","","","Tuck.","","","","","scribble lichen","Lichen"
"OPAT3","","OPAT3","Opegrapha atra","","Opegrapha","","atra","","","","","","","","","","","Pers.","","","","","scribble lichen","Lichen"
"OPAU9","","OPAU9","Opegrapha aurantiaca","","Opegrapha","","aurantiaca","","","","","","","","","","","de Lesd.","","","","","","Lichen"
"OPBO2","","OPBO2","Opegrapha bonplandii","","Opegrapha","","bonplandii","","","","","","","","","","","Fée","","","","","Bonpland's scribble lichen","Lichen"
"OPCA9","","OPCA9","Opegrapha calcarea","","Opegrapha","","calcarea","","","","","","","","","","","Turner ex Sm. & Sowerby","","","","","calcareous scribble lichen","Lichen"
"OPCA10","","OPCA10","Opegrapha candida","","Opegrapha","","candida","","","","","","","","","","","Müll. Arg.","","","","","scribble lichen","Lichen"
"OPCY2","","OPCY2","Opegrapha cypressi","","Opegrapha","","cypressi","","","","","","","","","","","R.C. Harris","","","","","","Lichen"
"OPFI2","","OPFI2","Opegrapha filicina","","Opegrapha","","filicina","","","","","","","","","","","Mont.","","","","","scribble lichen","Lichen"
"OPGL","","OPGL","Opegrapha glaucomaria","","Opegrapha","","glaucomaria","","","","","","","","","","","(Nyl.) Kallsten","","","","","","Lichen"
"OPGY","","OPGY","Opegrapha gyrocarpa","","Opegrapha","","gyrocarpa","","","","","","","","","","","Flotow","","","","","","Lichen"
"OPHA","","OPHA","Opegrapha hassei","","Opegrapha","","hassei","","","","","","","","","","","Zahlbr.","","","","","Hasse's scribble lichen","Lichen"
"OPHE2","","OPHE2","Opegrapha herbarum","","Opegrapha","","herbarum","","","","","","","","","","","Mont.","","","","","scribble lichen","Lichen"
"OPLA5","","OPLA5","Opegrapha lamyi","","Opegrapha","","lamyi","","","","","","","","","","","(O.J. Rich. ex Nyl.) Triebel","","","","","","Lichen"
"OPLE4","","OPLE4","Opegrapha leucoplaca","","Opegrapha","","leucoplaca","","","","","","","","","","","Müll. Arg.","","","","","scribble lichen","Lichen"
"OPLI5","","OPLI5","Opegrapha lithryga","","Opegrapha","","lithryga","","","","","","","","","","","Ach.","","","","","scribble lichen","Lichen"
"OPLO2","","OPLO2","Opegrapha longissima","","Opegrapha","","longissima","","","","","","","","","","","Müll. Arg.","","","","","scribble lichen","Lichen"
