"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","SubClass","Class","SubDivision","Division","SuperDivision","SubKingdom","Kingdom"
"ACPE11","","ACPE11","Acacia pentagona","","Acacia","","pentagona","","","","","","","","","","","(Schumach. & Thonn.) Hook. f.","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACPI","","ACPI","Acacia pinetorum","","Acacia","","pinetorum","","","","","","","","","","","F.J. Herm.","","","","","pineland wattle","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACPO3","","ACPO3","Acacia polyacantha","","Acacia","","polyacantha","","","","","","","","","","","Willd.","","","","","catechu tree","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACRE8","","ACRE8","Acacia rehmanniana","","Acacia","","rehmanniana","","","","","","","","","","","Schinz","","","","","acacia","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACRE4","","ACRE4","Acacia retusa","","Acacia","","retusa","","","","","","","","","","","(Jacq.) Howard","","","","","catch and keep","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACRI","","ACRI","Acacia rigidula","","Acacia","","rigidula","","","","","","","","","","","Benth.","","","","","blackbrush acacia","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACRO5","","ACRO5","Acacia robusta","","Acacia","","robusta","","","","","","","","","","","Burch.","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACRO","","ACRO","Acacia roemeriana","","Acacia","","roemeriana","","","","","","","","","","","Scheele","","","","","roundflower catclaw","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACSC2","","ACSC2","Acacia schaffneri","","Acacia","","schaffneri","","","","","","","","","","","(S. Watson) F.J. Herm.","","","","","Schaffner's wattle","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACSC","","ACSC","Acacia schottii","","Acacia","","schottii","","","","","","","","","","","Torr.","","","","","Schott's wattle","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACSC9","","ACSC9","Acacia schweinfurthii","","Acacia","","schweinfurthii","","","","","","","","","","","Brenan & Exell","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACSC12","","ACSC12","Acacia scleroxyla","","Acacia","","scleroxyla","","","","","","","","","","","Tussac [excluded]","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACSE6","","ACSE6","Acacia senegal","","Acacia","","senegal","","","","","","","","","","","(L.) Willd.","","","","","gum arabic","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACSE7","","ACSE7","Acacia seyal","","Acacia","","seyal","","","","","","","","","","","Delile","","","","","talh","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACSI7","","ACSI7","Acacia sieberiana","","Acacia","","sieberiana","","","","","","","","","","","DC.","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACSP4","","ACSP4","Acacia sphaerocephala","","Acacia","","sphaerocephala","","","","","","","","","","","Schltdl. & Cham.","","","","","bee wattle","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACSW2","","ACSW2","Acacia swazica","","Acacia","","swazica","","","","","","","","","","","Burtt Davy","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACTO6","","ACTO6","Acacia tortilis","","Acacia","","tortilis","","","","","","","","","","","(Forssk.) Hayne","","","","","umbrella thorn","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACTO","","ACTO","Acacia tortuosa","","Acacia","","tortuosa","","","","","","","","","","","(L.) Willd.","","","","","poponax","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
