"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","PLANTS Floristic Area","State and Province","Category","Genus","Family","Order","SubClass","Class","SubDivision","Division","SuperDivision","SubKingdom","Duration","Growth Habit","Native Status","Federal Noxious Status","State Noxious Status","Invasive","Federal T/E Status","State T/E Status","National Wetland Indicator Status","Image Gallery","Fact Sheets","Plant Guides","Characteristics Data","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"MACO28","","MACO28","Maronea constans","","Maronea","","constans","","","","","","","","","","","(Nyl.) Hepp","","","","","maronea lichen","NA (L48)","","Lichen","Maronea","Fuscideaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAPO11","","MAPO11","Maronea polyphaea","","Maronea","","polyphaea","","","","","","","","","","","H. Magn.","","","","","maronea lichen","NA (L48)","","Lichen","Maronea","Fuscideaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MARI60","","MARI60","Masonhalea richardsonii","","Masonhalea","","richardsonii","","","","","","","","","","","(Hook.) Karnefelt","","","","","Richardson's masonhalea lichen","NA (L48)","","Lichen","Masonhalea","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MACA19","","MACA19","Massalongia carnosa","","Massalongia","","carnosa","","","","","","","","","","","(Dicks.) Körb.","","","","","littlelobed lichen","NA (L48)","","Lichen","Massalongia","Peltigeraceae","Peltigerales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAMI10","","MAMI10","Massalongia microphylliza","","Massalongia","","microphylliza","","","","","","","","","","","(Nyl. ex Hasse) Henssen","","","","","littlelobed lichen","NA (L48)","","Lichen","Massalongia","Peltigeraceae","Peltigerales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MATH4","","MATH4","Maytenus thompsonii","","Maytenus","","thompsonii","","","","","","","","","","","(Merr.) Fosberg","","","","","","","","Dicot","Maytenus","Celastraceae","Celastrales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Perennial","Tree","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAOC2","","MAOC2","Mazosia ocellata","","Mazosia","","ocellata","","","","","","","","","","","(Nyl.) R. C Harris","","","","","","NA (L48)","","Lichen","Mazosia","Roccellaceae","Opegraphales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MENI4","","MENI4","Medusulina nitida","","Medusulina","","nitida","","","","","","","","","","","(Eschw.) Müll. Arg.","","","","","medusulina lichen","NA (L48)","","Lichen","Medusulina","Graphidaceae","Graphidales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"METE6","","METE6","Medusulina texana","","Medusulina","","texana","","","","","","","","","","","Müll. Arg.","","","","","Texas medusulina lichen","NA (L48)","","Lichen","Medusulina","Graphidaceae","Graphidales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEAL14","","MEAL14","Megalaria albocincta","","Megalaria","","albocincta","","","","","","","","","","","(Degel.) Tønsberg","","","","","","NA (L48)","","Lichen","Megalaria","Lecanoraceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEBR8","","MEBR8","Megalaria brodoana","","Megalaria","","brodoana","","","","","","","","","","","S. Ekman & Tonsbeg","","","","","","NA (L48)","","Lichen","Megalaria","Lecanoraceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MECO20","","MECO20","Megalaria columbiana","","Megalaria","","columbiana","","","","","","","","","","","(G. Merr.) S. Ekman","","","","","","NA (L48)","","Lichen","Megalaria","Lecanoraceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEGR8","","MEGR8","Megalaria grossa","","Megalaria","","grossa","","","","","","","","","","","(Pers. ex Nyl.) Hafellner","","","","","megalaria lichen","NA (L48)","","Lichen","Megalaria","Lecanoraceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MELA15","","MELA15","Megalaria laureri","","Megalaria","","laureri","","","","","","","","","","","(Hepp ex Th. Fr.) Hafellner","","","","","","NA (L48)","","Lichen","Megalaria","Lecanoraceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEPU13","","MEPU13","Megalaria pulverea","","Megalaria","","pulverea","","","","","","","","","","","(Borrer) Hafellner & Schreiner","","","","","","NA (L48)","","Lichen","Megalaria","Lecanoraceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEPA15","","MEPA15","Megalospora pachycheila","","Megalospora","","pachycheila","","","","","","","","","","","(Tuck.) Sipman","","","","","megalospora lichen","NA (L48)","","Lichen","Megalospora","Megalosporaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEPO7","","MEPO7","Megalospora porphyritis","","Megalospora","","porphyritis","","","","","","","","","","","(Tuck.) R.C. Harris","","","","","magalospora lichen","NA (L48)","","Lichen","Megalospora","Megalosporaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"METU4","","METU4","Megalospora tuberculosa","","Megalospora","","tuberculosa","","","","","","","","","","","(Fée) Sipman","","","","","megalospora lichen","NA (L48)","","Lichen","Megalospora","Megalosporaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEVE6","","MEVE6","Megaspora verrucosa","","Megaspora","","verrucosa","","","","","","","","","","","(Ach.) Hafellner & V. Wirth","","","","","megaspora lichen","NA (L48)","","Lichen","Megaspora","Hymeneliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","Photo","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEAG","","MEAG","Melanelia agnata","","Melanelia","","agnata","","","","","","","","","","","(Nyl.) A. Thell","","","","","","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEAL8","","MEAL8","Melanelia albertana","","Melanelia","","albertana","","","","","","","","","","","(Ahti) Essl.","","","","","Alberta melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MECO18","","MECO18","Melanelia commixta","","Melanelia","","commixta","","","","","","","","","","","(Nyl.) A. Thell","","","","","","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MECU5","","MECU5","Melanelia culbersonii","","Melanelia","","culbersonii","","","","","","","","","","","(Hale) A. Thell","","","","","","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDI60","","MEDI60","Melanelia disjuncta","","Melanelia","","disjuncta","","","","","","","","","","","(Erichsen) Essl.","","","","","disjuct melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEEL5","","MEEL5","Melanelia elegantula","","Melanelia","","elegantula","","","","","","","","","","","(Zahlbr.) Essl.","","","","","elegant melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEEX2","","MEEX2","Melanelia exasperata","","Melanelia","","exasperata","","","","","","","","","","","(De Not.) Essl.","","","","","exasperated melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEEX60","","MEEX60","Melanelia exasperatula","","Melanelia","","exasperatula","","","","","","","","","","","(Nyl.) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEFU60","","MEFU60","Melanelia fuliginosa","","Melanelia","","fuliginosa","","","","","","","","","","","(Fr. ex Duby) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEGL5","","MEGL5","Melanelia glabra","","Melanelia","","glabra","","","","","","","","","","","(Schaerer) Essl.","","","","","smooth melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEGL6","","MEGL6","Melanelia glabroides","","Melanelia","","glabroides","","","","","","","","","","","(Essl.) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEHA8","","MEHA8","Melanelia halei","","Melanelia","","halei","","","","","","","","","","","(Ahti) Essl.","","","","","Hale's melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEHE6","","MEHE6","Melanelia hepatizon","","Melanelia","","hepatizon","","","","","","","","","","","(Ach.) A. Thell","","","","","","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEIN60","","MEIN60","Melanelia infumata","","Melanelia","","infumata","","","","","","","","","","","(Nyl.) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEMU60","","MEMU60","Melanelia multispora","","Melanelia","","multispora","","","","","","","","","","","(A. Schneid.) Essl.","","","","","manyspore melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEOL60","","MEOL60","Melanelia olivacea","","Melanelia","","olivacea","","","","","","","","","","","(L.) Eassl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEOL61","","MEOL61","Melanelia olivaceoides","","Melanelia","","olivaceoides","","","","","","","","","","","(Krog) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEPA60","","MEPA60","Melanelia panniformis","","Melanelia","","panniformis","","","","","","","","","","","(Nyl.) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MESE60","","MESE60","Melanelia septentrionalis","","Melanelia","","septentrionalis","","","","","","","","","","","(Lynge) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MESO60","","MESO60","Melanelia sorediata","","Melanelia","","sorediata","","","","","","","","","","","(Ach.) Goward & Ahti","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEST60","","MEST60","Melanelia stygia","","Melanelia","","stygia","","","","","","","","","","","(L.) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MESU4","","MESU4","Melanelia subargentifera","","Melanelia","","subargentifera","","","","","","","","","","","(Nyl.) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MESU60","","MESU60","Melanelia subaurifera","","Melanelia","","subaurifera","","","","","","","","","","","(Nyl.) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MESU10","","MESU10","Melanelia subelegantula","","Melanelia","","subelegantula","","","","","","","","","","","(Essl.) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MESU61","","MESU61","Melanelia subolivacea","","Melanelia","","subolivacea","","","","","","","","","","","(Nyl.) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"METO8","","METO8","Melanelia tominii","","Melanelia","","tominii","","","","","","","","","","","(Oksner) Essl.","","","","","","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"METR61","","METR61","Melanelia trabeculata","","Melanelia","","trabeculata","","","","","","","","","","","(Ahti) Essl.","","","","","melanelia lichen","NA (L48)","","Lichen","Melanelia","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"METR9","","METR9","Melanolecia transitoria","","Melanolecia","","transitoria","","","","","","","","","","","(Arnold) Hertel ex Poelt","","","","","melanolecia lichen","NA (L48)","","Lichen","Melanolecia","Hymeneliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEOX","","MEOX","Melanomma oxysporum","","Melanomma","","oxysporum","","","","","","","","","","","(Zahlbr.) D. Hawksw.","","","","","melanomma lichen","NA (L48)","","Lichen","Melanomma","Melanommataceae","Melanommatales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEAM3","","MEAM3","Melaspilea amota","","Melaspilea","","amota","","","","","","","","","","","Nyl.","","","","","melaspilea lichen","NA (L48)","","Lichen","Melaspilea","Melaspileaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEAR13","","MEAR13","Melaspilea arthonioides","","Melaspilea","","arthonioides","","","","","","","","","","","(Fée) Nyl.","","","","","melaspilea lichen","NA (L48)","","Lichen","Melaspilea","Melaspileaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MECI10","","MECI10","Melaspilea cinerascens","","Melaspilea","","cinerascens","","","","","","","","","","","(Willey) Fink","","","","","melaspilea lichen","NA (L48)","","Lichen","Melaspilea","Melaspileaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MECO12","","MECO12","Melaspilea constrictella","","Melaspilea","","constrictella","","","","","","","","","","","(Stirt.) A.L. Sm.","","","","","melaspilea lichen","NA (L48)","","Lichen","Melaspilea","Melaspileaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MECU4","","MECU4","Melaspilea cupularis","","Melaspilea","","cupularis","","","","","","","","","","","Müll. Arg.","","","","","melaspilea lichen","NA (L48)","","Lichen","Melaspilea","Melaspileaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDE10","","MEDE10","Melaspilea deformis","","Melaspilea","","deformis","","","","","","","","","","","(Schaerer) Nyl.","","","","","melaspilea lichen","NA (L48)","","Lichen","Melaspilea","Melaspileaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDE11","","MEDE11","Melaspilea demissa","","Melaspilea","","demissa","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","melaspilea lichen","NA (L48)","","Lichen","Melaspilea","Melaspileaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
