"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","Class","Division","Kingdom"
"ABMA5","","ABMA5","Abronia macrocarpa","","Abronia","","macrocarpa","","","","","","","","","","","L.A. Galloway","","","","","largefruit sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABMA2","","ABMA2","Abronia maritima","","Abronia","","maritima","","","","","","","","","","","Nutt. ex S. Watson","","","","","red sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABME","","ABME","Abronia mellifera","","Abronia","","mellifera","","","","","","","","","","","Douglas ex Hook.","","","","","white sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABMI2","","ABMI2","Abronia minor","","Abronia","","minor","","","","","","","","","","","Standl.","","","","","little sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABNA","","ABNA","Abronia nana","","Abronia","","nana","","","","","","","","","","","S. Watson","","","","","dwarf sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABNAC","","ABNAC","Abronia nana var. covillei","","Abronia","","nana","","","","var.","","covillei","","","","","S. Watson","(Heimerl) Munz","","","","Coville's dwarf sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABNAH","","ABNAH","Abronia nana var. harrisii","","Abronia","","nana","","","","var.","","harrisii","","","","","S. Watson","S.L. Welsh","","","","Harris' dwarf sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABNAN","","ABNAN","Abronia nana var. nana","","Abronia","","nana","","","","var.","","nana","","","","","S. Watson","S. Watson","","","","dwarf sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABNE","","ABNE","Abronia neurophylla","","Abronia","","neurophylla","","","","","","","","","","","Standl.","","","","","beach sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABPO","","ABPO","Abronia pogonantha","","Abronia","","pogonantha","","","","","","","","","","","Heimerl","","","","","Mojave sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABTU","","ABTU","Abronia turbinata","","Abronia","","turbinata","","","","","","","","","","","Torr. ex S. Watson","","","","","transmontane sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABUM","","ABUM","Abronia umbellata","","Abronia","","umbellata","","","","","","","","","","","Lam.","","","","","pink sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
