"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","Class","Division","Kingdom"
"BUTIA","","BUTIA","Butia","","Butia","","","","","","","","","","","","","Becc.","","","","","jelly palm","Monocot","Butia","Arecaceae","Arecales","Liliopsida","Magnoliophyta","Plantae"
"BUCA15","","BUCA15","Butia capitata","","Butia","","capitata","","","","","","","","","","","(Mart.) Becc.","","","","","South American jelly palm","Monocot","Butia","Arecaceae","Arecales","Liliopsida","Magnoliophyta","Plantae"
"BUTOM","","BUTOM","Butomus","","Butomus","","","","","","","","","","","","","L.","","","","","butomus","Monocot","Butomus","Butomaceae","Alismatales","Liliopsida","Magnoliophyta","Plantae"
"BUUM","","BUUM","Butomus umbellatus","","Butomus","","umbellatus","","","","","","","","","","","L.","","","","","flowering rush","Monocot","Butomus","Butomaceae","Alismatales","Liliopsida","Magnoliophyta","Plantae"
"BUTTO","","BUTTO","Buttonia","","Buttonia","","","","","","","","","","","","","McKen ex Benth.","","","","","buttonia","Dicot","Buttonia","Scrophulariaceae","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"BUHI2","","BUHI2","Buttonia hildebrandtii","","Buttonia","","hildebrandtii","","","","","","","","","","","Engl.","","","","","","Dicot","Buttonia","Scrophulariaceae","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"BUXBA2","","BUXBA2","Buxbaumia","","Buxbaumia","","","","","","","","","","","","","Hedw.","","","","","buxbaumia moss","Moss","Buxbaumia","Buxbaumiaceae","Buxbaumiales","Bryopsida","Bryophyta","Plantae"
"BUAP70","","BUAP70","Buxbaumia aphylla","","Buxbaumia","","aphylla","","","","","","","","","","","Hedw.","","","","","buxbaumia moss","Moss","Buxbaumia","Buxbaumiaceae","Buxbaumiales","Bryopsida","Bryophyta","Plantae"
"BUMI6","","BUMI6","Buxbaumia minakatae","","Buxbaumia","","minakatae","","","","","","","","","","","Okam.","","","","","buxbaumia moss","Moss","Buxbaumia","Buxbaumiaceae","Buxbaumiales","Bryopsida","Bryophyta","Plantae"
"BUPI","","BUPI","Buxbaumia piperi","","Buxbaumia","","piperi","","","","","","","","","","","Best","","","","","Piper's buxbaumia moss","Moss","Buxbaumia","Buxbaumiaceae","Buxbaumiales","Bryopsida","Bryophyta","Plantae"
"BUVI2","","BUVI2","Buxbaumia viridis","","Buxbaumia","","viridis","","","","","","","","","","","(DC.) Moug. & Nestl.","","","","","buxbaumia moss","Moss","Buxbaumia","Buxbaumiaceae","Buxbaumiales","Bryopsida","Bryophyta","Plantae"
"BUXUS","","BUXUS","Buxus","","Buxus","","","","","","","","","","","","","L.","","","","","boxwood","Dicot","Buxus","Buxaceae","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"BUBA6","","BUBA6","Buxus balearica","","Buxus","","balearica","","","","","","","","","","","Lam.","","","","","","Dicot","Buxus","Buxaceae","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"BUHA4","","BUHA4","Buxus harlandii","","Buxus","","harlandii","","","","","","","","","","","Hance","","","","","","Dicot","Buxus","Buxaceae","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"BULA10","","BULA10","Buxus laevigata","","Buxus","","laevigata","","","","","","","","","","","(Sw.) Spreng. [excluded]","","","","","","Dicot","Buxus","Buxaceae","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"BUMI5","","BUMI5","Buxus microphylla","","Buxus","","microphylla","","","","","","","","","","","Siebold & Zucc.","","","","","littleleaf boxwood","Dicot","Buxus","Buxaceae","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"BUPO","","BUPO","Buxus portoricensis","","Buxus","","portoricensis","","","","","","","","","","","Alain","","","","","Puerto Rico box","Dicot","Buxus","Buxaceae","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"BUSE2","","BUSE2","Buxus sempervirens","","Buxus","","sempervirens","","","","","","","","","","","L.","","","","","common box","Dicot","Buxus","Buxaceae","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"BUVA","","BUVA","Buxus vahlii","","Buxus","","vahlii","","","","","","","","","","","Baill.","","","","","Vahl's box","Dicot","Buxus","Buxaceae","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"BYRSO","","BYRSO","Byrsonima","","Byrsonima","","","","","","","","","","","","","Rich. ex Kunth","","","","","byrsonima","Dicot","Byrsonima","Malpighiaceae","Polygalales","Magnoliopsida","Magnoliophyta","Plantae"
"BYCO3","","BYCO3","Byrsonima coccolobifolia","","Byrsonima","","coccolobifolia","","","","","","","","","","","Kunth","","","","","locustberry","Dicot","Byrsonima","Malpighiaceae","Polygalales","Magnoliopsida","Magnoliophyta","Plantae"
"BYCR","","BYCR","Byrsonima crassifolia","","Byrsonima","","crassifolia","","","","","","","","","","","(L.) Kunth","","","","","maricao cimun","Dicot","Byrsonima","Malpighiaceae","Polygalales","Magnoliopsida","Magnoliophyta","Plantae"
"BYLU","","BYLU","Byrsonima lucida","","Byrsonima","","lucida","","","","","","","","","","","(Mill.) DC.","","","","","Long Key locustberry","Dicot","Byrsonima","Malpighiaceae","Polygalales","Magnoliopsida","Magnoliophyta","Plantae"
"BYSP","","BYSP","Byrsonima spicata","","Byrsonima","","spicata","","","","","","","","","","","(Cav.) Kunth","","","","","doncella","Dicot","Byrsonima","Malpighiaceae","Polygalales","Magnoliopsida","Magnoliophyta","Plantae"
"BYWA","","BYWA","Byrsonima wadsworthii","","Byrsonima","","wadsworthii","","","","","","","","","","","Little","","","","","almendrillo","Dicot","Byrsonima","Malpighiaceae","Polygalales","Magnoliopsida","Magnoliophyta","Plantae"
"BYSSO","","BYSSO","Byssoloma","","Byssoloma","","","","","","","","","","","","","Trevis.","","","","","byssoloma lichen","Lichen","Byssoloma","Pilocarpaceae","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"BYLE","","BYLE","Byssoloma leucoblepharum","","Byssoloma","","leucoblepharum","","","","","","","","","","","(Nyl.) Vain.","","","","","byssoloma lichen","Lichen","Byssoloma","Pilocarpaceae","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"BYMA","","BYMA","Byssoloma marginatum","","Byssoloma","","marginatum","","","","","","","","","","","(Arnold) Serus.","","","","","","Lichen","Byssoloma","Pilocarpaceae","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"BYME","","BYME","Byssoloma meadii","","Byssoloma","","meadii","","","","","","","","","","","(Tuck.) S. Ekman","","","","","","Lichen","Byssoloma","Pilocarpaceae","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"BYPU","","BYPU","Byssoloma pubescens","","Byssoloma","","pubescens","","","","","","","","","","","Vezda ex R.C. Harris","","","","","","Lichen","Byssoloma","Pilocarpaceae","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"BYSU","","BYSU","Byssoloma subdiscordans","","Byssoloma","","subdiscordans","","","","","","","","","","","(Nyl.) P. James","","","","","byssoloma lichen","Lichen","Byssoloma","Pilocarpaceae","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"BYTR","","BYTR","Byssoloma tricholomum","","Byssoloma","","tricholomum","","","","","","","","","","","(Mont.) Zahlbr.","","","","","byssoloma lichen","Lichen","Byssoloma","Pilocarpaceae","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"CABOM","","CABOM","Cabomba","","Cabomba","","","","","","","","","","","","","Aubl.","","","","","fanwort","Dicot","Cabomba","Cabombaceae","Nymphaeales","Magnoliopsida","Magnoliophyta","Plantae"
"CACA","","CACA","Cabomba caroliniana","","Cabomba","","caroliniana","","","","","","","","","","","A. Gray","","","","","Carolina fanwort","Dicot","Cabomba","Cabombaceae","Nymphaeales","Magnoliopsida","Magnoliophyta","Plantae"
"CACAC4","","CACAC4","Cabomba caroliniana var. caroliniana","","Cabomba","","caroliniana","","","","var.","","caroliniana","","","","","A. Gray","A. Gray","","","","Carolina fanwort","Dicot","Cabomba","Cabombaceae","Nymphaeales","Magnoliopsida","Magnoliophyta","Plantae"
"CACAP","","CACAP","Cabomba caroliniana var. pulcherrima","","Cabomba","","caroliniana","","","","var.","","pulcherrima","","","","","A. Gray","Harper","","","","Carolina fanwort","Dicot","Cabomba","Cabombaceae","Nymphaeales","Magnoliopsida","Magnoliophyta","Plantae"
"CAFU13","","CAFU13","Cabomba furcata","","Cabomba","","furcata","","","","","","","","","","","Schult. & Schult. f.","","","","","forked fanwort","Dicot","Cabomba","Cabombaceae","Nymphaeales","Magnoliopsida","Magnoliophyta","Plantae"
"CAHA26","","CAHA26","Cabomba haynesii","","Cabomba","","haynesii","","","","","","","","","","","Wiersema","","","","","fishgrass","Dicot","Cabomba","Cabombaceae","Nymphaeales","Magnoliopsida","Magnoliophyta","Plantae"
"CAPA40","","CAPA40","Cabomba palaeformis","","Cabomba","","palaeformis","","","","","","","","","","","Fassett","","","","","Fish-Grass","Dicot","Cabomba","Cabombaceae","Nymphaeales","Magnoliopsida","Magnoliophyta","Plantae"
"CACAL4","","CACAL4","Cacaliopsis","","Cacaliopsis","","","","","","","","","","","","","A. Gray","","","","","cacaliopsis","Dicot","Cacaliopsis","Asteraceae","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"CANA5","","CANA5","Cacaliopsis nardosmia","","Cacaliopsis","","nardosmia","","","","","","","","","","","(A. Gray) A. Gray","","","","","silvercrown","Dicot","Cacaliopsis","Asteraceae","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"CADAB","","CADAB","Cadaba","","Cadaba","","","","","","","","","","","","","Forssk.","","","","","cadaba","Dicot","Cadaba","Capparaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CAFA4","","CAFA4","Cadaba farinosa","","Cadaba","","farinosa","","","","","","","","","","","Forssk.","","","","","cadaba","Dicot","Cadaba","Capparaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CAELO2","","CAELO2","Caelogyne","","Caelogyne","","","","","","","","","","","","","","","","","","caelogyne","Monocot","Caelogyne","Orchidaceae","Orchidales","Liliopsida","Magnoliophyta","Plantae"
"CAESA","","CAESA","Caesalpinia","","Caesalpinia","","","","","","","","","","","","","L.","","","","","nicker","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CABO6","","CABO6","Caesalpinia bonduc","","Caesalpinia","","bonduc","","","","","","","","","","","(L.) Roxb.","","","","","yellow nicker","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CACA26","","CACA26","Caesalpinia caudata","","Caesalpinia","","caudata","","","","","","","","","","","(A. Gray) Fisher","","","","","tailed nicker","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CACI19","","CACI19","Caesalpinia ciliata","","Caesalpinia","","ciliata","","","","","","","","","","","(Bergius ex Wikstr.) Urb.","","","","","mato","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CACO28","","CACO28","Caesalpinia coriaria","","Caesalpinia","","coriaria","","","","","","","","","","","(Jacq.) Willd.","","","","","divi divi","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CACU10","","CACU10","Caesalpinia culebrae","","Caesalpinia","","culebrae","","","","","","","","","","","(Britton & P. Wilson) Alain","","","","","smooth yellow nicker","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CADE15","","CADE15","Caesalpinia decapetala","","Caesalpinia","","decapetala","","","","","","","","","","","(Roth) Alston","","","","","shoofly","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CADI12","","CADI12","Caesalpinia divergens","","Caesalpinia","","divergens","","","","","","","","","","","Urb.","","","","","small yellow nicker","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAEC3","","CAEC3","Caesalpinia echinata","","Caesalpinia","","echinata","","","","","","","","","","","Lam.","","","","","Brazilwood","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAGI","","CAGI","Caesalpinia gilliesii","","Caesalpinia","","gilliesii","","","","","","","","","","","(Wall. ex Hook.) Wall. ex D. Dietr.","","","","","bird-of-paradise shrub","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAKA5","","CAKA5","Caesalpinia kavaiensis","","Caesalpinia","","kavaiensis","","","","","","","","","","","H. Mann","","","","","uhiuhi","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAMA21","","CAMA21","Caesalpinia major","","Caesalpinia","","major","","","","","","","","","","","(Medik.) Dandy & Exell","","","","","Hawai'i pearls","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAME","","CAME","Caesalpinia mexicana","","Caesalpinia","","mexicana","","","","","","","","","","","A. Gray","","","","","Mexican holdback","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAMO14","","CAMO14","Caesalpinia monensis","","Caesalpinia","","monensis","","","","","","","","","","","Britton","","","","","black nicker","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAMY2","","CAMY2","Caesalpinia myabensis","","Caesalpinia","","myabensis","","","","","","","","","","","Britton","","","","","","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAPA34","","CAPA34","Caesalpinia pauciflora","","Caesalpinia","","pauciflora","","","","","","","","","","","(Griseb.) C. Wright ex Sauvalle","","","","","fewflower holdback","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAPE46","","CAPE46","Caesalpinia peninsularis","","Caesalpinia","","peninsularis","","","","","","","","","","","(Britton) Eifert [excluded]","","","","","","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAPH","","CAPH","Caesalpinia phyllanthoides","","Caesalpinia","","phyllanthoides","","","","","","","","","","","Standl.","","","","","wait-a-bit vine","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAPO6","","CAPO6","Caesalpinia portoricensis","","Caesalpinia","","portoricensis","","","","","","","","","","","(Britton & P. Wilson) Alain","","","","","brown nicker","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAPU13","","CAPU13","Caesalpinia pulcherrima","","Caesalpinia","","pulcherrima","","","","","","","","","","","(L.) Sw.","","","","","pride-of-Barbados","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAPU42","","CAPU42","Caesalpinia pumila","","Caesalpinia","","pumila","","","","","","","","","","","(Britton & Rose) F.J. Herm.","","","","","","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CASA28","","CASA28","Caesalpinia sappan","","Caesalpinia","","sappan","","","","","","","","","","","L.","","","","","sappanwood","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CASP11","","CASP11","Caesalpinia spinosa","","Caesalpinia","","spinosa","","","","","","","","","","","(Molina) Kuntze","","","","","spiny holdback","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAVI22","","CAVI22","Caesalpinia violacea","","Caesalpinia","","violacea","","","","","","","","","","","Standl.","","","","","brasiletto","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAWO3","","CAWO3","Caesalpinia wootonii","","Caesalpinia","","wootonii","","","","","","","","","","","(Britton) Eifert ex Isely","","","","","Wooton's holdback","Dicot","Caesalpinia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAJAN","","CAJAN","Cajanus","","Cajanus","","","","","","","","","","","","","Adans.","","","","","cajanus","Dicot","Cajanus","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CACA27","","CACA27","Cajanus cajan","","Cajanus","","cajan","","","","","","","","","","","(L.) Millsp.","","","","","pigeonpea","Dicot","Cajanus","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAGO4","","CAGO4","Cajanus goensis","","Cajanus","","goensis","","","","","","","","","","","Dalzell","","","","","","Dicot","Cajanus","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAMA59","","CAMA59","Cajanus marmoratus","","Cajanus","","marmoratus","","","","","","","","","","","(R. Br. ex Benth.) F. Muell.","","","","","","Dicot","Cajanus","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CASC33","","CASC33","Cajanus scarabaeoides","","Cajanus","","scarabaeoides","","","","","","","","","","","(L.) Thouars","","","","","showy pigeonpea","Dicot","Cajanus","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"CAKIL","","CAKIL","Cakile","","Cakile","","","","","","","","","","","","","Mill.","","","","","searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CACO25","","CACO25","Cakile constricta","","Cakile","","constricta","","","","","","","","","","","Rodman","","","","","Gulf Coast searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CAED","","CAED","Cakile edentula","","Cakile","","edentula","","","","","","","","","","","(Bigelow) Hook.","","","","","American searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CAEDE","","CAEDE","Cakile edentula ssp. edentula","","Cakile","","edentula","ssp.","","edentula","","","","","","","","(Bigelow) Hook.","(Bigelow) Hook.","","","","American searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CAEDE2","","CAEDE2","Cakile edentula ssp. edentula var. edentula","","Cakile","","edentula","ssp.","","edentula","var.","","edentula","","","","","(Bigelow) Hook.","(Bigelow) Hook.","(Bigelow) Hook.","","","American searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CAEDL2","","CAEDL2","Cakile edentula ssp. edentula var. lacustris","","Cakile","","edentula","ssp.","","edentula","var.","","lacustris","","","","","(Bigelow) Hook.","(Bigelow) Hook.","Fernald","","","American searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CAEDH","","CAEDH","Cakile edentula ssp. harperi","","Cakile","","edentula","ssp.","","harperi","","","","","","","","(Bigelow) Hook.","(Small) Rodman","","","","Harper's searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CAGE4","","CAGE4","Cakile geniculata","","Cakile","","geniculata","","","","","","","","","","","(B.L. Rob.) Millsp.","","","","","gulf searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CALA2","","CALA2","Cakile lanceolata","","Cakile","","lanceolata","","","","","","","","","","","(Willd.) O.E. Schulz","","","","","coastal searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CALAF","","CALAF","Cakile lanceolata ssp. fusiformis","","Cakile","","lanceolata","ssp.","","fusiformis","","","","","","","","(Willd.) O.E. Schulz","(Greene) Rodman","","","","coastal searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CALAL2","","CALAL2","Cakile lanceolata ssp. lanceolata","","Cakile","","lanceolata","ssp.","","lanceolata","","","","","","","","(Willd.) O.E. Schulz","(Willd.) O.E. Schulz","","","","coastal searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CALAP","","CALAP","Cakile lanceolata ssp. pseudoconstricta","","Cakile","","lanceolata","ssp.","","pseudoconstricta","","","","","","","","(Willd.) O.E. Schulz","Rodman","","","","coastal searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CAMA","","CAMA","Cakile maritima","","Cakile","","maritima","","","","","","","","","","","Scop.","","","","","European searocket","Dicot","Cakile","Brassicaceae","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"CALAD","","CALAD","Caladium","","Caladium","","","","","","","","","","","","","Vent.","","","","","caladium","Monocot","Caladium","Araceae","Arales","Liliopsida","Magnoliophyta","Plantae"
"CABI11","","CABI11","Caladium bicolor","","Caladium","","bicolor","","","","","","","","","","","(Aiton) Vent.","","","","","heart of Jesus","Monocot","Caladium","Araceae","Arales","Liliopsida","Magnoliophyta","Plantae"
"CALAM","","CALAM","Calamagrostis","","Calamagrostis","","","","","","","","","","","","","Adans.","","","","","reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAAC19","","CAAC19","Calamagrostis ×acutiflora","","Calamagrostis","×","acutiflora","","","","","","","","","","","(Schrad.) Rchb.","","","","","feather reed grass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAKO7","","CAKO7","Calamagrostis ×kolymensis","","Calamagrostis","×","kolymensis","","","","","","","","","","","Kom. (pro sp.) [excluded]","","","","","","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAAL33","","CAAL33","Calamagrostis alba","","Calamagrostis","","alba","","","","","","","","","","","(J. Presl) Steud.","","","","","","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAAR45","","CAAR45","Calamagrostis arundinacea","","Calamagrostis","","arundinacea","","","","","","","","","","","(L.) Roth","","","","","","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAAV","","CAAV","Calamagrostis avenoides","","Calamagrostis","","avenoides","","","","","","","","","","","(Hook. f.) Cockayne","","","","","mountain oat grass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CABO","","CABO","Calamagrostis bolanderi","","Calamagrostis","","bolanderi","","","","","","","","","","","Thurb.","","","","","Bolander's reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CABR","","CABR","Calamagrostis breweri","","Calamagrostis","","breweri","","","","","","","","","","","Thurb.","","","","","shorthair reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CACA2","","CACA2","Calamagrostis cainii","","Calamagrostis","","cainii","","","","","","","","","","","Hitchc.","","","","","Cain's reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CACA4","","CACA4","Calamagrostis canadensis","","Calamagrostis","","canadensis","","","","","","","","","","","(Michx.) P. Beauv.","","","","","bluejoint","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CACAC10","","CACAC10","Calamagrostis canadensis var. canadensis","","Calamagrostis","","canadensis","","","","var.","","canadensis","","","","","(Michx.) P. Beauv.","(Michx.) P. Beauv.","","","","bluejoint","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CACAL3","","CACAL3","Calamagrostis canadensis var. langsdorffii","","Calamagrostis","","canadensis","","","","var.","","langsdorffii","","","","","(Michx.) P. Beauv.","(Link) Inman","","","","bluejoint","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CACAM","","CACAM","Calamagrostis canadensis var. macouniana","","Calamagrostis","","canadensis","","","","var.","","macouniana","","","","","(Michx.) P. Beauv.","(Vasey) Stebbins","","","","Macoun's reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CACA80","","CACA80","Calamagrostis canescens","","Calamagrostis","","canescens","","","","","","","","","","","(Weber ex F.H. Wigg.) Roth","","","","","purple smallreed","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CACO71","","CACO71","Calamagrostis coarctata","","Calamagrostis","","coarctata","","","","","","","","","","","Eaton","","","","","Nuttall's reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CADE3","","CADE3","Calamagrostis deschampsioides","","Calamagrostis","","deschampsioides","","","","","","","","","","","Trin.","","","","","circumpolar reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAEP","","CAEP","Calamagrostis epigeios","","Calamagrostis","","epigeios","","","","","","","","","","","(L.) Roth","","","","","chee reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAEPE2","","CAEPE2","Calamagrostis epigeios ssp. epigeios","","Calamagrostis","","epigeios","ssp.","","epigeios","","","","","","","","(L.) Roth","(L.) Roth","","","","chee reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAEPG","","CAEPG","Calamagrostis epigeios ssp. glomerata","","Calamagrostis","","epigeios","ssp.","","glomerata","","","","","","","","(L.) Roth","(Boiss. & Buhse) Tzvelev","","","","chee reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAEPM3","","CAEPM3","Calamagrostis epigeios ssp. macrolepis","","Calamagrostis","","epigeios","ssp.","","macrolepis","","","","","","","","(L.) Roth","(Litv.) Tzvelev [excluded]","","","","chee reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAEPM4","","CAEPM4","Calamagrostis epigeios ssp. meinshausenii","","Calamagrostis","","epigeios","ssp.","","meinshausenii","","","","","","","","(L.) Roth","Tzvelev [excluded]","","","","chee reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAEX","","CAEX","Calamagrostis expansa","","Calamagrostis","","expansa","","","","","","","","","","","(Munro ex Hillebr.) Hitchc.","","","","","Maui reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAFO","","CAFO","Calamagrostis foliosa","","Calamagrostis","","foliosa","","","","","","","","","","","Kearney","","","","","leafy reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAHI","","CAHI","Calamagrostis hillebrandii","","Calamagrostis","","hillebrandii","","","","","","","","","","","(Munro ex Hillebr.) Hitchc.","","","","","Hillegrand's reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAHO","","CAHO","Calamagrostis holmii","","Calamagrostis","","holmii","","","","","","","","","","","Lange","","","","","Holm's reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"CAHO2","","CAHO2","Calamagrostis howellii","","Calamagrostis","","howellii","","","","","","","","","","","Vasey","","","","","Howell's reedgrass","Monocot","Calamagrostis","Poaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
